date,long_return,short_return,portfolio_return,cost,net_return,capital,month
2022-06-15,0.14999999999999997,-0.18775999999999998,0.16887999999999997,0.0026,0.16627999999999998,53573189.29942231,2022-06
2022-06-20,0.057569999999999996,-0.08963,0.0736,0.0026,0.071,57376885.73968129,2022-06
2022-06-23,0.08659,-0.04557,0.06608,0.0026,0.06348,61019170.446436256,2022-06
2022-06-28,0.08179,-0.07407,0.07793,0.0026,0.07533,65615744.55616629,2022-06
2022-07-01,0.10255,-0.11344000000000001,0.10799500000000001,0.0026,0.105395,72531315.95366344,2022-07
2022-07-06,0.14397,-0.10249000000000001,0.12323,0.0026,0.12063,81280768.59715386,2022-07
2022-07-11,0.14999999999999997,-0.1285,0.13924999999999998,0.0026,0.13665,92387785.62595493,2022-07
2022-07-14,0.07963,-0.0643,0.071965,0.0026,0.069365,98796264.37589929,2022-07
2022-07-19,0.04131,-0.05219,0.04675,0.0026,0.04415,103158119.44809523,2022-07
2022-07-22,0.10395000000000001,-0.058140000000000004,0.081045,0.0026,0.078445,111250358.12820107,2022-07
2022-07-27,0.03136,-0.10833,0.06984499999999999,0.0026,0.06724499999999999,118731388.46053195,2022-07
2022-08-01,0.08684,-0.08945000000000002,0.088145,0.0026,0.085545,128888265.08638816,2022-08
2022-08-04,0.14999999999999997,-0.034969999999999994,0.09248499999999998,0.0026,0.08988499999999998,140473386.79367816,2022-08
2022-08-09,0.06083000000000001,-0.02286,0.04184500000000001,0.0026,0.03924500000000001,145986264.85839605,2022-08
2022-08-12,0.10958000000000001,-0.04954,0.07956,0.0026,0.07696,157221367.8018982,2022-08
2022-08-17,0.0863,-0.09239,0.08934500000000001,0.0026,0.086745,170859535.35187387,2022-08
2022-08-22,0.07981,-0.13951,0.10966000000000001,0.0026,0.10706,189151757.2066455,2022-08
2022-08-25,0.14999999999999997,-0.16055999999999998,0.15527999999999997,0.0026,0.15267999999999998,218031447.4969561,2022-08
2022-08-30,0.07471000000000001,-0.10537,0.09004000000000001,0.0026,0.08744,237096117.26608995,2022-08
2022-09-02,0.08595,-0.05922000000000001,0.07258500000000001,0.0026,0.069985,253689289.03295726,2022-09
2022-09-07,0.1058,-0.08956,0.09768,0.0026,0.09508,277810066.6342108,2022-09
2022-09-13,0.07287999999999999,-0.11768,0.09528,0.0026,0.09268,303557503.60986954,2022-09
2022-09-16,0.14999999999999997,-0.10763,0.12881499999999999,0.0026,0.126215,341871013.9279892,2022-09
2022-09-21,0.12860999999999997,-0.08774,0.108175,0.0026,0.10557499999999999,377964046.22343665,2022-09
2022-09-26,0.09637,-0.18022,0.138295,0.0026,0.135695,429251877.47572595,2022-09
2022-09-29,0.10508999999999999,-0.12854,0.11681499999999999,0.0026,0.11421499999999998,478278880.66161597,2022-09
