year,n_events,n_active,freq_per_stock,a3_div,a3_c1,a3_ex,a5_div,a5_c1,a5_ex,a10_div,a10_c1,a10_ex,a15_div,a15_c1,a15_ex,a20_div,a20_c1,a20_ex,a25_div,a25_c1,a25_ex,a30_div,a30_c1,a30_ex,a45_div,a45_c1,a45_ex,a60_div,a60_c1,a60_ex,b3_div,b3_c1,b3_ex,b5_div,b5_c1,b5_ex,b10_div,b10_c1,b10_ex,b15_div,b15_c1,b15_ex,b20_div,b20_c1,b20_ex,b25_div,b25_c1,b25_ex,b30_div,b30_c1,b30_ex,b45_div,b45_c1,b45_ex,b60_div,b60_c1,b60_ex
2000,2886,570,5.063157894736842,61.642411642411645,52.75259783329649,8.889813809115154,63.409563409563404,55.140393544107894,8.26916986545551,62.85516285516286,57.41764315719655,5.437519697966309,62.75121275121275,59.31903603802786,3.4321767131848873,62.612612612612615,59.49590979438426,3.1167028182283545,64.34511434511434,60.19460415745246,4.1505101876618795,65.52321552321553,59.796550199026974,5.726665324188552,61.67706167706167,58.73893805309734,2.93812362396433,60.006937218175516,58.9953529541934,1.0115842639821153,63.82536382536382,53.725403493256685,10.099960332107138,64.93416493416494,55.38359495909795,9.550569975066992,63.27096327096328,56.97545876630555,6.295504504657728,63.06306306306306,59.49590979438426,3.5671532686788012,63.860013860013865,58.85474242759231,5.0052714324215515,66.14691614691614,59.75232198142415,6.394594165491988,66.66666666666666,59.079849590798496,7.5868170758681615,62.3007623007623,58.53982300884956,3.7609392919127416,60.30534351145038,59.074811863656485,1.230531647793896
2001,11613,1139,10.195785776997367,44.87212606561612,44.11566156615662,0.7564644994595042,40.52355119262895,43.24932493249325,-2.7257737398643016,41.26614987080103,39.72772277227723,1.5384270985237976,36.230510810578,37.308730873087306,-1.0782200625093097,34.97931747673216,37.0653763924834,-2.086058915751238,33.94534953883286,36.446494880162035,-2.5011453413291775,31.52858005000431,35.25374142005176,-3.7251613700474486,23.706450500172473,31.918964546989308,-8.212514046816835,22.457078768009666,27.03737055380459,-4.580291785794923,46.094893653664,44.45319531953195,1.6416983341320517,42.71075518815121,43.17056705670567,-0.45981186855446055,42.6442721791559,39.18766876687669,3.4566034122792075,36.81943487250172,37.08370837083708,-0.2642734983353563,35.749375161596134,36.660290311691234,-0.9109151500951,33.91379310344828,36.007651625970524,-2.093858522522247,31.789963786859804,34.91616968605828,-3.126205899198478,24.146257330113833,31.693866066404052,-7.5476087362902184,22.6986455008196,26.868527690229627,-4.169882189410025
2002,16809,1206,13.937810945273633,41.157919790551,42.635209179397926,-1.477289388846927,44.49601332857313,43.25038679731821,1.2456265312549206,43.60942520528383,42.78436935775084,0.8250558475329868,37.51487741014044,42.03160270880361,-4.516725298663168,40.57496577584668,42.283134472750724,-1.7081686969040462,43.235521695137194,42.49032258064516,0.7451991144920314,44.81547619047619,43.48667655977805,1.3287996306981427,46.17811644243363,45.24331999483671,0.9347964475969164,46.89453939141309,42.563903950426024,4.330635440987066,43.865286207306916,43.56346290208212,0.3018233052247936,47.84600737831727,43.54329185739153,4.302715520925737,43.56777341425681,42.69039788482621,0.8773755294306014,37.93370231506278,42.22508868107062,-4.291386366007842,41.74156300220225,42.21863914866172,-0.47707614645947416,44.107142857142854,42.18064516129032,1.9264976958525324,45.27380952380952,43.91534391534391,1.3584656084656075,46.815097035361354,44.57854653414225,2.2365505012191065,46.67420949205026,42.60908856183837,4.06512093021189
2003,21411,1266,16.912322274881518,45.67745551352109,47.04970795088807,-1.3722524373669813,44.953528560085935,46.59077363213732,-1.6372450720513854,36.97977486103975,45.323955415151694,-8.344180554111944,34.05915611420027,43.582712369597616,-9.523556255397345,33.19312020938493,42.00298062593145,-8.80986041654652,34.32738150883425,41.136485600143104,-6.809104091308853,35.21548097597457,40.28622540250447,-5.070744426529899,32.189603590127156,40.33758797566504,-8.147984385537882,33.35359865313567,40.27918630316769,-6.925587650032021,46.756340198963144,47.383478364524976,-0.6271381655618313,45.14245679588977,47.31195613303135,-2.1694993371415805,37.46438081001541,45.33857892226991,-7.874198112254497,34.402018974622614,43.397913561847986,-8.995894587225372,33.87240009347979,42.291641826636464,-8.419241733156674,35.439842946620544,41.02915747421144,-5.5893145275908935,36.03346732728803,39.92844364937388,-3.894976322085853,32.413986537023185,40.5940594059406,-8.180072868917414,33.77449375672263,40.4104277277337,-6.63593397101107
2004,23148,1362,16.995594713656388,48.643394106973126,46.094012311135984,2.5493817958371423,49.08831662633944,45.55630176852474,3.5320148578147013,37.86411963004581,42.68681780016792,-4.822698170122109,34.74539638627129,41.748768472906406,-7.0033720866351175,32.31021960919938,39.1109618183854,-6.800742209186019,32.8793185454231,36.7790346063389,-3.8997160609158,34.807800406451335,34.647477179817436,0.1603232266338992,30.557958477508652,30.402868829495155,0.15508964801349734,29.04733062213377,25.732862507706965,3.3144681144268056,50.8403542881832,46.37381085618355,4.466543431999646,48.963014172139644,45.91962386656219,3.0433903055774536,36.2952718471778,43.017072488105235,-6.721800640927434,35.47745644749924,41.821540528437076,-6.344084080937833,32.664706899533115,38.732433794300434,-6.067726894767318,34.01219354001816,36.560645089035724,-2.548451549017564,35.019673974142776,34.46653598431812,0.5531379898246556,30.912629757785464,30.537345212080464,0.375284545705,28.608515057113188,25.4806344935822,3.1278805635309865
2005,20198,1365,14.797069597069598,47.99465240641711,50.82565807400948,-2.831005667592372,49.17050463031744,51.678840074130605,-2.5083354438131664,45.974334836248325,50.43610989969473,-4.461775063446403,47.95539033457249,48.29598124216151,-0.3405909075890179,50.05700123915737,46.42954557852818,3.6274556606291952,47.13258983890954,45.752168931085286,1.3804209078242522,45.08403986315633,44.87200480323126,0.21203505992506422,42.564815734578325,41.887390093386486,0.6774256411918387,45.63811797473391,44.650273224043715,0.9878447506901935,50.40356523892052,52.77157028397013,-2.368005045049607,50.92115689381933,51.91322359097351,-0.9920666971541792,47.03929438580843,50.67059208374223,-3.631297697933796,49.660470879801736,48.62285246795746,1.037618411844278,50.95910780669145,47.14129841789416,3.8178093887972864,47.739664915237434,46.07912687585266,1.6605380393847753,46.040168608975954,44.874454148471614,1.16571446050434,42.87771928081852,42.037138175860186,0.840581104958332,45.941509997015814,45.321893103071375,0.6196168939444391
2006,12091,1417,8.532815808045166,63.31375630738688,55.94549722333543,7.368259084051452,66.48465293290312,57.09623862140035,9.388414311502764,69.52814569536424,59.538399862550826,9.98974583281342,67.0860927152318,61.890575766256084,5.195516948975715,70.04139072847683,63.745773396756256,6.295617331720571,71.88871408462366,65.81799415104076,6.070719933582893,72.46004802517182,67.13515374024782,5.3248942849239995,74.74295190713102,70.99219108865411,3.7507608184769055,81.52020579205045,76.59427783522924,4.925927956821212,66.73835718421705,56.895860766015915,9.842496418201137,70.74886222589988,58.15870834764686,12.590153878253027,70.19039735099338,60.36655211912944,9.823845231863942,67.66556291390728,62.713418127649824,4.952144786257456,71.4380329497475,64.20220082530949,7.235832124438005,72.77469570257514,66.46404404174791,6.310651660827233,73.51552795031056,67.33218588640275,6.183342063907801,76.07595986400199,71.59508497932934,4.4808748846726445,82.50622406639005,77.09278942832519,5.413434638064857
2007,9947,1516,6.561345646437995,61.31107983108788,60.23024594453166,1.0808338865562206,63.509301156359975,62.3600209314495,1.149280224910477,66.60633484162895,65.70023027004396,0.90610457158499,67.23981900452489,67.74480556863976,-0.5049865641148727,69.27099044746103,67.58779504893494,1.6831953985260952,71.89259855189059,66.98073701842546,4.911861533465128,71.2604365757972,66.79405297874568,4.466383597051518,72.51509054325955,67.20590544997644,5.309185093283105,71.234530636885,65.81496413424787,5.4195665026371245,63.03670186023127,60.68550497121926,2.3511968890120087,67.22976370035194,63.04029304029304,4.189470660058902,67.86324786324786,66.56374293489637,1.299504928351496,68.6375062845651,67.6453655728267,0.9921407117384007,71.52051488334675,67.35057050141316,4.16994438193359,71.97023031278286,66.89175041876047,5.078479894022394,72.20601549139926,66.73123233169301,5.474783159706249,72.78672032193158,67.36820061776871,5.418519704162875,71.86839722306067,65.48510393214303,6.383293290917635
2008,33146,1577,21.018389346861127,44.22856453267362,44.687346134908914,-0.4587816022352911,42.75025644119954,42.45900832143384,0.2912481197656973,40.37892958426356,39.55584006302934,0.8230895212342162,34.022267145400235,38.311912148520214,-4.289645003119979,32.22195401605214,38.04599399221943,-5.824039976167292,33.25890162945082,36.92815285369577,-3.6692512242449524,33.151271915266,35.35408253718113,-2.202810621915127,34.95579226892785,31.675366886634492,3.280425382293359,37.885143495186654,32.14479192317163,5.740351572015022,43.43510529173958,44.928606597735104,-1.4935013059955224,44.669040004827124,42.63626963415235,2.0327703706747755,38.708704178609146,40.388024423872366,-1.67932024526322,33.31623570588057,38.79942876840498,-5.483193062524407,32.85356507045654,38.42517358546314,-5.571608515006602,33.8171394085697,36.87087560326997,-3.053736194700271,32.891758954705935,35.38855510686496,-2.4967961521590283,35.18211171127674,31.60149709445484,3.580614616821901,38.47360956031023,32.40581137650825,6.067798183801983
2009,11737,1681,6.9821534800713865,57.63823805060918,58.12616119614261,-0.4879231455334292,69.76823449216087,60.185799601857994,9.582434890302878,77.5562372188139,64.30404388992125,13.252193328892659,77.33083347537072,66.54128683954332,10.789546635827406,75.9417078575081,68.1256915246736,7.816016332834508,82.87029146071247,69.07280371763665,13.79748774307582,83.3731038009204,70.59188100402851,12.781222796891896,81.43758526603001,73.93383818254284,7.50374708348717,83.00759580097295,75.89139389644328,7.1162019045296745,65.11885490329726,60.004423800044236,5.114431103253025,73.27027948193592,61.6191108161911,11.651168665744812,78.71506475800955,64.96615194017964,13.748912817829904,77.64615646838247,67.3466678467121,10.299488621670378,77.56945628089314,68.78955521132994,8.779901069563195,84.10601670359638,69.47419668938656,14.631820014209822,83.40577857325492,71.15410155385365,12.25167701940127,81.42905866302866,74.00026571011027,7.428792952918386,83.40018776137237,76.07742392700536,7.322763834367009
