segment,config,pool,selection,exit_rule,n_slots,horizon,seed,elapsed_s,ann_return,max_dd,sharpe,calmar,turnover,cost_ratio,utilization,coverage,final_equity,n_trades,entered,total_signals,ret_2015,ret_2016,ret_2017,ret_2018,ret_2019,ret_2020,ret_2021,ret_2022,ret_2023,ret_2024,ret_2025,ret_2026
val,main_S2_E3_N10,main,S2,E3,10,20,42,0.33,-0.1545992389066938,-0.4797934342571222,-1.0945046179368383,-0.32222041376215205,10.447312579000691,,0.371169204287192,0.13439705431113838,525812.7469139562,434,438,3259,,,,,-0.1434306625808257,-0.30105372340267855,0.1525620683549953,-0.23799035552947523,,,,
val,main_S2_E4_N10,main,S2,E4,10,20,42,0.34,-0.1194398035819827,-0.39695118013805697,-1.1677301690267903,-0.30089292980673926,13.966830317431127,,0.2872307052172695,0.1776618594660939,614560.1763573168,575,579,3259,,,,,-0.0825483667454685,-0.14030961536536268,-0.06844068379197377,-0.16357182499076683,,,,
val,main_S3_E1_N10,main,S3,E1,10,20,42,0.35,-0.16319512853342466,-0.5588018370271861,-0.7652693592997099,-0.29204472447982505,5.998607351193518,,0.5377274801318568,0.07824486038662166,505641.758508252,245,255,3259,,,,,-0.14938623173249976,-0.21853829500210986,-0.01730581402953879,-0.22592251110998485,,,,
val,main_S3_E2_N10,main,S3,E2,10,20,42,0.36,-0.07753223562936506,-0.3630341906621882,-0.3881810880123368,-0.2135673102523575,8.7410412670847,,0.4733000610504685,0.10800859159251304,734260.512650286,342,352,3259,,,,,-0.10372799363690088,0.05463801416256664,0.09244448014078999,-0.2889378771168064,,,,
val,main_S3_E3_N10,main,S3,E3,10,20,42,0.34,-0.17041458691939804,-0.5253186310435759,-1.066782618650141,-0.32440232812771097,9.97465092548883,,0.4024464491808326,0.1322491561828782,489147.2742478262,426,431,3259,,,,,-0.1461560361193105,-0.28280967157171244,0.08665666064327548,-0.26492042674507954,,,,
val,main_S3_E4_N10,main,S3,E4,10,20,42,0.35,-0.1300320048595398,-0.4451607387459112,-1.0798444256234754,-0.29210124240933893,14.188825150962598,,0.28375379670940387,0.18226449831236577,586742.9183775053,589,594,3259,,,,,-0.08467514671489229,-0.09085633336533849,-0.09375956810182584,-0.221969450441442,,,,
val,backup_S0_E1_N10,backup,S0,E1,10,20,42,0.61,0.09225568746237967,-0.29575625172959374,0.5303831611019345,0.3119314872394579,8.576988170180503,0.12790789081020612,0.8145800241554388,0.048842461885940144,1401802.7417770054,336,346,7084,,,,,0.3091393207602513,0.006270983322450574,0.019244727210549817,0.04401710635156553,,,,
val,backup_S0_E2_N10,backup,S0,E2,10,20,42,0.59,0.05730204913869774,-0.24338930997761754,0.4264098630393962,0.23543371376486225,12.302633897950376,0.22898272431363412,0.7752026454194556,0.06874647092038397,1237719.7702950183,478,487,7084,,,,,0.2497292670330804,-0.024291908140171348,0.14948214202615473,-0.1169521201577356,,,,
val,backup_S0_E3_N10,backup,S0,E3,10,20,42,0.75,0.03898739173289667,-0.2736906273171965,0.29706580454490866,0.14245059143991745,17.53580388569265,0.5054743650478609,0.7578934723118946,0.1007905138339921,1157646.8447412672,706,714,7084,,,,,0.3168888576982767,0.014061441568089972,-0.017095597670218732,-0.11803486051189704,,,,
val,backup_S0_E4_N10,backup,S0,E4,10,20,42,0.57,-0.01889712616745476,-0.2660709433525371,-0.05903524918095755,-0.07102288558588134,25.887728784098098,1.4865723780229492,0.6765020568484517,0.14539808018068887,929581.1408824647,1025,1030,7084,,,,,0.013141381314146994,0.11705115686563383,-0.012245646159114054,-0.16843685198050817,,,,
val,backup_S1_E1_N10,backup,S1,E1,10,20,42,0.5,0.15714846601352628,-0.298761187773264,0.7601637554942091,0.5260002719389022,8.939288003730331,0.09475317609917204,0.8168935339298138,0.05110107284020327,1748327.1227680072,352,362,7084,,,,,0.310430226009752,0.15417086479772468,0.2542189931100154,-0.07835151610141033,,,,
val,backup_S1_E2_N10,backup,S1,E2,10,20,42,0.64,0.06473771858805155,-0.376293012763373,0.42214275406316015,0.17204071399742155,14.267719417496009,0.27979167799279975,0.772865830801598,0.07834556747600226,1271369.0111734332,548,555,7084,,,,,0.38024873639439893,0.1119813998368484,0.05478120672033082,-0.21466607744649135,,,,
val,backup_S1_E3_N10,backup,S1,E3,10,20,42,0.86,-0.016263800423522712,-0.48967169930163934,0.025730404363394938,-0.033213682650473454,16.531383229353953,2.892550790871155,0.7803086141734066,0.09824957651044608,939167.2380156748,689,696,7084,,,,,0.47341090825877874,0.045366846324327526,-0.21251926331846416,-0.2256979802193032,,,,
val,backup_S1_E4_N10,backup,S1,E4,10,20,42,0.71,-0.009868227138599028,-0.2953697208181336,0.01065313203986537,-0.033409745288939544,25.699088534243526,1.1259294116040814,0.6792569022259133,0.14582156973461322,962752.9983497851,1027,1033,7084,,,,,0.04006959923009301,0.07251489048782989,-0.0009225427027040878,-0.13612682772750084,,,,
val,backup_S2_E1_N10,backup,S2,E1,10,20,42,0.44,0.1418772709231575,-0.32760236449129687,0.7977060117559197,0.43307767678498127,7.012534539989931,0.10229137098497292,0.7972886106472903,0.040654997176736304,1661648.8433517558,278,288,7084,,,,,0.4488519831407516,0.3849957843766936,0.06277022199519999,-0.22083865034776873,,,,
val,backup_S2_E2_N10,backup,S2,E2,10,20,42,0.57,0.0914126713476291,-0.2689614365411437,0.5903951290014611,0.3398727807346667,11.609516478552559,0.17899742325852486,0.7834532047403591,0.06535855448898927,1397666.1611357417,453,463,7084,,,,,0.3939149079379387,0.11236593462696942,0.08705156114460455,-0.17078077356864796,,,,
val,backup_S2_E3_N10,backup,S2,E3,10,20,42,0.85,0.11537459759851876,-0.25622667637206176,0.6270347508563061,0.45028331644510566,17.053419595206044,0.24410331124704385,0.7678458559042428,0.09782608695652174,1518810.7007288053,687,693,7084,,,,,0.6582969896534299,-0.03748702126456527,-0.0012373813150633461,-0.047264249038618034,,,,
val,backup_S2_E4_N10,backup,S2,E4,10,20,42,0.65,0.03526388090013377,-0.217912439456861,0.3106664106972181,0.16182591956672018,21.69080045117482,0.4846580033042814,0.7103994638392028,0.1212591756070017,1141847.6768217748,854,859,7084,,,,,0.14962323124068955,0.16482507428617077,-0.037414230569031925,-0.11416569752547079,,,,
val,backup_S3_E1_N10,backup,S3,E1,10,20,42,0.47,0.1905483698067898,-0.27420102932306445,0.9338911865315599,0.6949221535645118,7.7188855849342985,0.07030138270390907,0.7966375731351691,0.04432523997741389,1949498.8354365053,304,314,7084,,,,,0.3464836112622516,0.24200120529988123,0.11044253656484737,0.049793311725892186,,,,
val,backup_S3_E2_N10,backup,S3,E2,10,20,42,0.6,0.061857690581684555,-0.3330127782862159,0.4124199297106998,0.18575170268247024,12.251164466517404,0.22150720154840597,0.7798571151245592,0.06832298136645963,1258256.6344813786,475,484,7084,,,,,0.3264520516547387,-0.03885691333754837,0.10939453264707555,-0.11038191009834697,,,,
val,backup_S3_E3_N10,backup,S3,E3,10,20,42,0.64,0.07055734182647466,-0.4372036041809263,0.4209899688862871,0.1613832574840261,16.795060986147934,0.3077125110866024,0.7742637670415874,0.09782608695652174,1298172.721685056,688,693,7084,,,,,0.6370276745115682,-0.06457143897801254,-0.14331789448057108,-0.010430875432742237,,,,
val,backup_S3_E4_N10,backup,S3,E4,10,20,42,0.88,0.028359027240395518,-0.28312112283379964,0.2595754126109766,0.10016570631165198,21.900153892010028,0.5260911591595423,0.712198701575266,0.12478825522303783,1112972.0914712066,878,884,7084,,,,,0.1329355402360679,0.14056209434800326,-0.04289602501053347,-0.10008597678262154,,,,
train_late,main_S0_E1_N10,main,S0,E1,10,20,42,0.23,-0.001338620225489917,-0.3822140352392457,0.0964276262394726,-0.003502279095146289,4.43284259310299,1.2279929986254348,0.35824002994545806,0.08954451345755693,994685.4437592528,173,173,1932,0.28290439022375136,-0.17884231777395554,-0.055798010986544244,0.0,,,,,,,,
train_late,main_S0_E2_N10,main,S0,E2,10,20,42,0.21,-0.04178662664884458,-0.3213565488451944,-0.14195151942918066,-0.1300319747613865,5.774866435638015,,0.30998858755701086,0.11180124223602485,843829.9593149036,216,216,1932,0.22344399581372731,-0.26238518928730326,-0.06493625584335139,0.0,,,,,,,,
train_late,main_S0_E3_N10,main,S0,E3,10,20,42,0.19,0.00018194409211491624,-0.320038708688819,0.08130193304101685,0.0005685065186656051,6.077143319042662,0.9819972606558363,0.2828442874767268,0.12577639751552794,1000723.987397915,243,243,1932,0.19880683305202163,-0.13993529985830133,-0.029414101799359993,0.0,,,,,,,,
train_late,main_S0_E4_N10,main,S0,E4,10,20,42,0.17,-0.04132165600497495,-0.23279026548968051,-0.2742921449090747,-0.17750594475268863,8.407728642905111,,0.186386917280571,0.16873706004140787,845460.0337125793,326,326,1932,0.05734924183745305,-0.16634558639332664,-0.04084549578672503,0.0,,,,,,,,
train_late,main_S1_E1_N10,main,S1,E1,10,20,42,0.21,0.01805814644328807,-0.3114774268651702,0.19351473399365923,0.05797577893535422,4.46499605753682,0.2963386101023532,0.35833936862215254,0.08954451345755693,1073791.822990503,173,173,1932,0.43457031856325146,-0.20460887602879607,-0.058939572662913164,0.0,,,,,,,,
train_late,main_S1_E2_N10,main,S1,E2,10,20,42,0.22,-0.0072235420271689055,-0.30605713720113914,0.04921258924667369,-0.023601939471915113,5.651278050363824,5.02570066093862,0.31960346201950096,0.11024844720496894,971571.6679493389,213,213,1932,0.37631349148711757,-0.2522686101014727,-0.055913338149685354,0.0,,,,,,,,
train_late,main_S1_E3_N10,main,S1,E3,10,20,42,0.21,0.036519347320506546,-0.24897323924771064,0.3091332074112242,0.14667980956849902,6.114696032499829,0.2272401110882751,0.27644166851087015,0.12525879917184266,1153369.499761995,242,242,1932,0.3881560996007676,-0.1408881734321905,-0.03287978923902324,0.0,,,,,,,,
train_late,main_S1_E4_N10,main,S1,E4,10,20,42,0.21,-0.016292633042202187,-0.2568550357598466,-0.07467298770264051,-0.06343123853501326,8.421653378643242,,0.18395898073262162,0.16459627329192547,936741.9110668821,318,318,1932,0.2255221235513638,-0.18171769435721874,-0.06589513131468094,0.0,,,,,,,,
train_late,main_S2_E1_N10,main,S2,E1,10,20,42,0.21,0.04293927026313238,-0.28296184291904714,0.3159100382220181,0.1517493306523909,4.345371257419165,0.1493267040557594,0.35836925460596974,0.08954451345755693,1182050.8456327522,173,173,1932,0.45865096462125066,-0.18471762181363294,-0.006022121517243129,0.0,,,,,,,,
train_late,main_S2_E2_N10,main,S2,E2,10,20,42,0.23,-0.008107586338041872,-0.2894235102020911,0.045089545687686805,-0.028012880959051037,5.590631115284234,13.780228677576703,0.32468100819545836,0.11076604554865424,968134.5305525513,214,214,1932,0.3021909563539056,-0.23433810960527557,-0.028989325436514335,0.0,,,,,,,,
train_late,main_S2_E3_N10,main,S2,E3,10,20,42,0.61,0.06816678394847853,-0.20359439290145986,0.49600339357057827,0.3348166075549605,5.882305952062221,0.13495808589569133,0.2811753797363953,0.12370600414078675,1299957.037765163,239,239,1932,0.4061858856077769,-0.0673164946791579,-0.008821281313505569,0.0,,,,,,,,
train_late,main_S2_E4_N10,main,S2,E4,10,20,42,0.21,-0.004596156673406071,-0.18888425861408786,0.025368219702224908,-0.024333190638170354,8.263561555183065,1.5547466652333455,0.18433173149524548,0.16511387163561075,981840.7968302426,319,319,1932,0.16669874016404296,-0.10992733195253357,-0.054510131131640716,0.0,,,,,,,,
train_late,main_S3_E1_N10,main,S3,E1,10,20,42,0.22,0.015627707049957973,-0.3147378890851601,0.18320772630987164,0.049653084652065874,4.58296446241985,0.33322876050706995,0.35224099067166365,0.09109730848861283,1063630.1894177524,176,176,1932,0.4785551540237514,-0.21877267944771084,-0.07917796486990603,0.0,,,,,,,,
train_late,main_S3_E2_N10,main,S3,E2,10,20,42,0.23,0.016222971227915606,-0.31835900904453196,0.18324914237048134,0.05095810316976562,5.7705538698283165,0.36843718036292783,0.31108614838692417,0.11387163561076605,1066112.2950484282,220,220,1932,0.43377262940606665,-0.22185945518324612,-0.0444253462652614,0.0,,,,,,,,
train_late,main_S3_E3_N10,main,S3,E3,10,20,42,0.21,0.024490576560610267,-0.24713264398461565,0.2318080742087295,0.09909891370779345,6.285411536842192,0.30798673442667457,0.2763474522679405,0.12836438923395446,1101036.5046887065,248,248,1932,0.35565891259896465,-0.1391017244973184,-0.05659223463551599,0.0,,,,,,,,
train_late,main_S3_E4_N10,main,S3,E4,10,20,42,0.21,-0.022302229943741203,-0.2587952096411653,-0.10827876808786592,-0.08617713586995891,8.631262677554624,,0.18418609478926795,0.16925465838509315,914182.7975433986,327,327,1932,0.18704742700291388,-0.1773587049521137,-0.06383054440638092,0.0,,,,,,,,
train_late,backup_S0_E1_N10,backup,S0,E1,10,20,42,0.61,-0.12779012930025146,-0.708244229086348,-0.15402722756913725,-0.18043229164761962,8.87664436559592,,0.8385919350848693,0.0449425017601502,580476.3840380047,374,383,8522,0.574009810901001,0.22046410831303076,-0.4105640768106914,-0.4873564374338779,,,,,,,,
train_late,backup_S0_E2_N10,backup,S0,E2,10,20,42,0.55,-0.22713261697672116,-0.7292406153207949,-0.7824250632992064,-0.31146457315299825,12.325930910255353,,0.735383442911272,0.060783853555503406,358815.11752026645,508,518,8522,0.1492695711932528,-0.21647428565119042,-0.22270672857742202,-0.4873621580416462,,,,,,,,
train_late,backup_S0_E3_N10,backup,S0,E3,10,20,42,1.03,-0.19628437573384827,-0.7724084022260471,-0.4009909989807509,-0.25411993858192805,16.47666299682414,,0.7598607719484463,0.08894625674724244,419264.5739684785,751,758,8522,0.2260411725785072,0.0009487930040390502,-0.344091168484281,-0.4791318831028224,,,,,,,,
train_late,backup_S0_E4_N10,backup,S0,E4,10,20,42,0.54,-0.15356949853992174,-0.5920972613558717,-0.4667324249730704,-0.25936532485939157,23.754376366023656,,0.6112297981951724,0.11863412344520066,515170.72203511215,1004,1011,8522,-0.13889958487242315,0.21910062784915674,-0.23801779937065604,-0.35595977473786844,,,,,,,,
train_late,backup_S1_E1_N10,backup,S1,E1,10,20,42,0.53,-0.09971978746022969,-0.6459729466762092,-0.05070370719569464,-0.15437146086895456,8.747358973169742,,0.8400378399852739,0.0449425017601502,658430.7051130042,373,383,8522,0.32129077448625054,0.29454140934293727,-0.31631236624113834,-0.4369616184692867,,,,,,,,
train_late,backup_S1_E2_N10,backup,S1,E2,10,20,42,0.59,-0.127191798944844,-0.5618149890130064,-0.2589313018258504,-0.22639445623957788,11.863290034219508,,0.7384117840730559,0.05773292654306501,582062.0933664443,484,492,8522,0.038695358236961575,0.07083983355675949,-0.09572696075985221,-0.42129527864231353,,,,,,,,
train_late,backup_S1_E3_N10,backup,S1,E3,10,20,42,0.66,-0.23393513207243644,-0.810494388844365,-0.5090093627973145,-0.28863263619380564,16.502124250572454,,0.7596322578983072,0.09152781037315184,346415.3220741226,772,780,8522,0.14762909502434063,-0.016727287007015867,-0.3850329986391413,-0.5008055559679758,,,,,,,,
train_late,backup_S1_E4_N10,backup,S1,E4,10,20,42,0.7,-0.21290951359369603,-0.6940638121263425,-0.6855839395266521,-0.3067578367778948,25.322382567476467,,0.5728175146845446,0.1304858014550575,385812.24213099375,1104,1112,8522,-0.20297532470404434,0.09575230064396667,-0.29991156041833944,-0.3689860803508618,,,,,,,,
train_late,backup_S2_E1_N10,backup,S2,E1,10,20,42,0.53,-0.1536555302192113,-0.7461180012793915,-0.21971378739858172,-0.20593998530491614,7.9290735278871685,,0.8511541107543387,0.04153954470781507,514962.4514542542,345,354,8522,0.5631235950727502,0.23323911561630783,-0.373198413296272,-0.573808418885923,,,,,,,,
train_late,backup_S2_E2_N10,backup,S2,E2,10,20,42,1.07,-0.1446148530823016,-0.595249651957725,-0.32725414967925226,-0.24294823626805287,11.690121938860063,,0.7386129962747932,0.056676836423374795,537195.8738955276,473,483,8522,0.10692604527861072,0.05582216090016234,-0.0646648736499067,-0.5085763602141935,,,,,,,,
