feature,cn_name,importance,rank,kept
rsi_robust_z,相对强弱指标robust｜当日横截面稳健标准化,0.0,1846,False
rsi_turning,相对强弱指标turning,0.0,1847,False
rsi_turning_rankpct,相对强弱指标turning｜当日横截面百分位,0.0,1848,False
rsi_turning_simple_z,相对强弱指标turning_simple｜当日横截面稳健标准化,0.0,1849,False
sh_amplitude_z,上证指数日特征amplitude｜当日横截面稳健标准化,0.0,1850,False
sh_price_change_abs_z,上证指数日特征price_change_abs｜当日横截面稳健标准化,0.0,1851,False
sh_price_change_z,上证指数日特征price_change｜当日横截面稳健标准化,0.0,1852,False
sh_price_wave_abs_z,上证指数日特征price_wave_abs｜当日横截面稳健标准化,0.0,1853,False
sh_sentiment_z,上证指数日特征sentiment｜当日横截面稳健标准化,0.0,1854,False
sh_sz_sync_direction_z,沪深同步性_direction｜当日横截面稳健标准化,0.0,1855,False
sh_sz_sync_strength_z,沪深同步性_strength｜当日横截面稳健标准化,0.0,1856,False
sh_volume_ratio_z,上证指数日特征volume_ratio｜当日横截面稳健标准化,0.0,1857,False
sh_volume_signal_z,上证指数日特征volume_signal｜当日横截面稳健标准化,0.0,1858,False
signed_vol_strength,带符号量能强度_strength,0.0,1859,False
signed_vol_strength_rankpct,带符号量能强度_strength｜当日横截面百分位,0.0,1860,False
signed_vol_strength_z,带符号量能强度_strength｜当日横截面稳健标准化,0.0,1861,False
signed_volume_strength,带符号成交量强度,0.0,1862,False
signed_volume_strength_rankpct,带符号成交量强度｜当日横截面百分位,0.0,1863,False
signed_volume_strength_z,带符号成交量强度｜当日横截面稳健标准化,0.0,1864,False
slowd,随机指标D,0.0,1865,False
slowd_rankpct,随机指标D｜当日横截面百分位,0.0,1866,False
slowd_z,随机指标D｜当日横截面稳健标准化,0.0,1867,False
slowk,随机指标K,0.0,1868,False
slowk_rankpct,随机指标K｜当日横截面百分位,0.0,1869,False
slowk_z,随机指标K｜当日横截面稳健标准化,0.0,1870,False
smart_money_diff,聪明钱差值,0.0,1871,False
smart_money_diff_lag_1,聪明钱差值｜滞后1日,0.0,1872,False
smart_money_diff_lag_1_rankpct,聪明钱差值｜滞后1日｜当日横截面百分位,0.0,1873,False
smart_money_diff_lag_1_z,聪明钱差值｜滞后1日｜当日横截面稳健标准化,0.0,1874,False
