feature,importance,rank,kept
SKEW_HIGH_5,0.001791085373128515,177,True
EMA_VWAP_3,0.0017643165220814724,178,True
MACD_HIST_AMP20,0.001744461876965819,179,True
illiq_lag_3_rankpct,0.001737876231605405,180,True
Q80_V_30,0.0017344325514950516,181,True
SKEW_HIGH_30,0.0017315469237912122,182,True
RESI_LOW_20,0.0016958961062707755,183,True
obv,0.0016953748460619914,184,True
CORR_R_V_60,0.0016927716913036205,185,True
volatility_20d_rankpct,0.0016886461412643791,186,True
MEAN_RETID_20,0.0016726955530458497,187,True
RSQ_R_30,0.0016488368342693635,188,True
DIST_52W_LOW,0.0016357667073593019,189,True
MKT_SH_PRICE_CHANGE_ABS,0.0016214582302100642,190,True
MKT_AVG_AMP,0.0016099102154029312,191,True
COV_HLR_LOGV_20,0.001597926585508531,192,True
support_resistance_ratio_lag_3_z,0.0015956097869911437,193,True
CORR_R_RIDX_10,0.001577133765459952,194,True
STD_V_60,0.0015728621675704265,195,True
DVOL,0.0015489949267571796,196,True
volume_lag_10_rankpct,0.0015466680742948437,197,True
RESI_CF_30,0.0015424990385402998,198,True
macd_above_signal_rankpct,0.0015264896328589515,199,True
SKEW_HLR_3,0.0015236253075088279,200,True
MACD_HIST,0.0014557370130501934,201,True
SLOPE_V_20,0.001453613124421062,202,True
KURT_HIGH_60,0.0014533728940062237,203,True
EMA_LOW_5,0.0014442210487720843,204,True
efficiency_ratio_z,0.001444020059931017,205,True
KURT_OPEN_5,0.0014428702769361257,206,True
EMA_RETON_60,0.001437044100459002,207,True
macd_hist_rankpct,0.0014270156470069567,208,True
MAX_LOGV_30,0.00141478847962932,209,True
MEAN_RETID_30,0.0013720302767269113,210,True
macd_hist_amplitude,0.001352140836013724,211,True
amplitude_rankpct,0.0013301687722654441,212,True
efficiency_ratio_lag_5,0.0013235570708984535,213,True
MKT_SZ_PRICE_CHANGE,0.0013148397575820947,214,True
SLOPE_VWAP_20,0.0013001567290594365,215,True
macd_golden_cross_rankpct,0.001299299057929841,216,True
EMA_RETID_60,0.0012918263027538396,217,True
RESI_A_60,0.0012774543880813844,218,True
RESID_MOM60,0.0012771175929220974,219,True
KURT_LOGV_60,0.0012744289119426507,220,True
CORR_CLOSE_A_5,0.0012740898302427903,221,True
RSQ_R_20,0.0012645812017016604,222,True
MKT_SZ_PRICE_CHANGE_ABS,0.0012596451156384211,223,True
T1_GAP,0.0012493854508594262,224,True
obv_z,0.0012487482655462589,225,True
COV_R_RIDX_3,0.0012476925625925235,226,True
price_vs_ma60_z,0.0012252071971147172,227,True
MED_V_20,0.0012199948232251285,228,True
IDXMIN_R_30,0.0012168380292788797,229,True
MED_RETID_30,0.0012147164350602843,230,True
macd_hist_acceleration_z,0.0012120347040439018,231,True
support_resistance_ratio_lag_5_rankpct,0.001210995596554823,232,True
MIN_V_60,0.0012102613788683948,233,True
SLOPE_LOGV_60,0.0011951883786738317,234,True
atr,0.0011951446550740828,235,True
EMA_HLR_60,0.001191869610663434,236,True
WMA_HLR_5,0.0011805225673058213,237,True
RESI_OPEN_30,0.0011763206116289246,238,True
COUNT_R_10,0.001174842745865598,239,True
macd_rankpct,0.0011711985615377534,240,True
TSRANK_HLR_30,0.0011700773746196064,241,True
SLOPE_A_20,0.0011643042704666971,242,True
GAP_VOL20,0.0011614092619450164,243,True
Q20_VWAP_5,0.001160485090276366,244,True
MIN_A_10,0.0011560901263799302,245,True
illiq_lag_1,0.0011472520721145002,246,True
MAX_LOGV_10,0.001144482711503512,247,True
IDXMAX_LOW_30,0.0011436137551824373,248,True
MIN_HLR_60,0.0011354728998959824,249,True
KURT_RETON_30,0.0011352405269262815,250,True
DELTA_HLR_60,0.0011271786008608948,251,True
DELTA_OPEN_20,0.001121330555611705,252,True
RSQ_HIGH_5,0.0011171731270276698,253,True
Q80_HLR_3,0.0011129041664906132,254,True
MED_RETID_10,0.0011123470617146942,255,True
SKEW_HIGH_60,0.0011108461088343237,256,True
CORR_R_RIDX_20,0.0011094130173483596,257,True
REF_LOGV_10,0.0011089218256179268,258,True
volatility_30d_z,0.0010997033638423667,259,True
atr_ratio_rankpct,0.0010913598581924074,260,True
volume_lag_5_z,0.001086086708170402,261,True
RSQ_HIGH_3,0.0010855781319770946,262,True
Q20_RETID_5,0.001079196936566419,263,True
KURT_HIGH_30,0.0010739954377621136,264,True
MAX_V_20,0.0010671645442378276,265,True
STD_A_30,0.0010434450982004912,266,True
