,selection_rate,sign_consistency,mean_abs_coef,std_abs_coef,strength_stability
high_lag_30_rankpct,0.8333333333333334,1.0,0.01809398906250523,0.013208691587088251,1.3698547614051684
sz_sentiment,0.8333333333333334,1.0,0.052516221012329056,0.040082678340960874,1.3101974016207951
rsi_overbought_24_rankpct,0.8333333333333334,1.0,0.027597530857543243,0.022179234010038937,1.2442959411966994
efficiency_ratio_lag_3,0.8333333333333334,1.0,0.059611983987722154,0.06432390896970072,0.9267469117245645
rsi_oversold_14,0.75,1.0,0.03550488950647948,0.023583756694116286,1.5054806563255165
intraday_pos_lag_1,0.75,1.0,0.038037483187073486,0.0263578530542761,1.4431176586631196
ma_arrangement_z,0.75,1.0,0.0882820002454805,0.06759485231025784,1.3060462036409135
stoch_overbought,0.75,1.0,0.029292707355526266,0.02273879490956863,1.288226023939365
signed_volume_strength_z,0.75,1.0,0.01938553507431209,0.015093977648648246,1.284322497724659
volume_ratio,0.75,1.0,0.06478354211151238,0.052594061883682076,1.231765332268665
hammer_pattern,0.75,1.0,0.05085934818439413,0.047077428847020375,1.0803340248182038
macd_zero_cross_down_rankpct,0.75,1.0,0.015496003950087066,0.01460115346923279,1.0612862869183508
price_trend_5_rankpct,0.75,1.0,0.018128722784014548,0.017118466054965698,1.0590156107331705
rsi_turning_simple,0.75,1.0,0.01048390223124049,0.010426931442528414,1.0054638115754468
rsi_turning,0.75,1.0,0.01048390223124049,0.010426931442528414,1.0054638115754468
smart_money_diff,0.75,1.0,0.012613759657986801,0.012761805053286163,0.9883993373444268
slowd,0.75,1.0,0.053425444799508524,0.06045853231629081,0.8836708856908988
vol_gk_ratio_lag_10_z,0.75,1.0,0.03436049394894946,0.03973371086316121,0.8647693155890586
divergence_amount,0.75,1.0,0.18291523418090594,0.2137351649994749,0.8558031813873741
efficiency_ratio_lag_5_z,0.75,1.0,0.028578644163560877,0.037257697577972,0.7670534150359717
macd_percentile,0.75,0.1111111111111111,0.06476880375806679,0.1083005208762458,0.5980470198483867
dist_to_high_60,0.6666666666666666,1.0,0.07374920212035745,0.06096943730363666,1.2096093613768437
sz_price_change,0.6666666666666666,1.0,0.0352020142692242,0.029384112836642294,1.1979947961990849
ret_overnight_rankpct,0.6666666666666666,1.0,0.011538028212890156,0.010255739302303566,1.1250313480860976
market_sentiment,0.6666666666666666,1.0,0.06759638723529669,0.06452878554476278,1.0475385002931126
ret_intraday_lag_1,0.6666666666666666,1.0,0.012893862868776638,0.012665415335899316,1.0180371134162338
efficiency_ratio_lag_3_z,0.6666666666666666,1.0,0.042999731384482404,0.04427449755080858,0.9712076649799745
macd_golden_cross_rankpct,0.6666666666666666,1.0,0.02640036559151128,0.02838901973017615,0.9299498835265866
macd_signal_cross_rankpct,0.6666666666666666,1.0,0.02640036559151128,0.02838901973017615,0.9299498835265866
return_lag_10,0.6666666666666666,1.0,0.01660177168673319,0.017980741942068647,0.9233084897287164
log_volume,0.6666666666666666,1.0,0.2545940330776704,0.28104944290123407,0.9058691967133322
hammer_signal,0.6666666666666666,1.0,0.011178056801065907,0.012631512587509622,0.8849341457426935
efficiency_ratio,0.6666666666666666,1.0,0.02051951568434827,0.023415818637264562,0.8763099852376275
distance_to_support_rankpct,0.6666666666666666,1.0,0.022813718650327563,0.02763560149691935,0.8255191642154306
atr_ratio_rankpct,0.6666666666666666,1.0,0.03453999227018688,0.04475081498438163,0.7718293461748483
macd_signal_rankpct,0.6666666666666666,1.0,0.040462040455604094,0.05332888458122836,0.7587265470361373
price_volume_divergence_z,0.6666666666666666,1.0,0.04506921005111977,0.06039893950797004,0.7461920758587588
macd_zero_cross_rankpct,0.6666666666666666,1.0,0.003831038175705643,0.005366494537941661,0.7138809419481962
volume_ma_20_rankpct,0.5833333333333334,1.0,0.06268124031006582,0.0647039641278349,0.9687387960686179
macd_hist_direction_rankpct,0.5833333333333334,1.0,0.03818650568112704,0.0394709973338038,0.9674573296992247
volume_signal,0.5833333333333334,1.0,0.008105549968239369,0.008389650202997232,0.9661368200242285
amplitude_lag_5_z,0.5833333333333334,1.0,0.006233761089555728,0.006517915274370018,0.9564041303311119
vol_gk_lag_10,0.5833333333333334,1.0,0.033746064704166946,0.03579837199204119,0.9426703737161423
intraday_pos_lag_3,0.5833333333333334,1.0,0.020697784538724506,0.022550758269246313,0.9178309789676204
hammer_pattern_rankpct,0.5833333333333334,1.0,0.04417499506647007,0.04872737359464911,0.9065745146444963
ma_arrangement,0.5833333333333334,1.0,0.044630520362382575,0.051868623084602106,0.8604531546863395
rsi_oversold_6,0.5833333333333334,1.0,0.013227290391089828,0.015523939003745105,0.8520576116602095
vol_gk_ratio_lag_1_z,0.5833333333333334,1.0,0.005355292364381928,0.006375752692657863,0.8399466890472291
pred_lgb,0.5833333333333334,1.0,0.06999446887868853,0.0836313812920668,0.8369402465594352
volume_consistency,0.5833333333333334,1.0,0.01366617381472253,0.016467300170273303,0.8298976561678668
volume_ma_ratio_rankpct,0.5833333333333334,1.0,0.006109719427815532,0.008518833651018397,0.7172014008144337
bb_squeeze_rankpct,0.5833333333333334,1.0,0.0757783783903803,0.10808604223139039,0.7010930997746601
macd_hist_direction_z,0.5833333333333334,0.14285714285714285,0.04341411685785642,0.06231078944971749,0.6967351439655569
vol_gk_z,0.5,1.0,0.02330388952368595,0.025167731329395614,0.9259431936349098
close_vs_high_rankpct,0.5,1.0,0.019535470019340674,0.02202700655612446,0.8868871932082377
sh_sz_sync_strength,0.5,1.0,0.012311381505501089,0.015630724040755464,0.7876398734569467
efficiency_ratio_lag_1_rankpct,0.5,1.0,0.008298792143440011,0.010700339632086728,0.7755634333843683
vol_gk_ratio_lag_5,0.5,0.3333333333333333,0.006428314661621079,0.00842850110062226,0.7626877643934209
sh_amplitude,0.5,1.0,0.04929482633359886,0.0668729506171151,0.7371414881308169
sh_price_wave_abs,0.5,1.0,0.04929482633359886,0.0668729506171151,0.7371414881308169
volume_lag_20_rankpct,0.5,1.0,0.013210184614208092,0.018318170013209914,0.7211519821402321
macd_hist_trend_5_rankpct,0.5,1.0,0.012447887637554576,0.018085899701886884,0.6882647721559519
bb_position_rankpct,0.5,1.0,0.00807211714632887,0.012087286792104605,0.6678187822598503
macd_percentile_z,0.5,0.6666666666666666,0.05218849068375211,0.07828880342482723,0.6666149998558019
macd_robust_z,0.5,1.0,0.007159887244603793,0.01082547933515559,0.6613921677677737
doji_pattern_rankpct,0.5,1.0,0.003020901603351677,0.004692659300833704,0.643750464222915
