,fold_0,fold_1,fold_2,fold_3,fold_4,importance_mean,importance_std
sh_volume_ratio_rankpct,0,0,0,0,0,0.0,0.0
sh_price_change_abs_rankpct,0,0,0,0,0,0.0,0.0
sh_price_wave_abs_rankpct,0,0,0,0,0,0.0,0.0
sh_sentiment_rankpct,0,0,0,0,0,0.0,0.0
sh_volume_signal_rankpct,0,0,0,0,0,0.0,0.0
market_sentiment_rankpct,0,0,0,0,0,0.0,0.0
sz_amplitude_rankpct,0,0,0,0,0,0.0,0.0
sz_volume_ratio_rankpct,0,0,0,0,0,0.0,0.0
sz_price_change_abs_rankpct,0,0,0,0,0,0.0,0.0
sz_price_wave_abs_rankpct,0,0,0,0,0,0.0,0.0
sz_sentiment_rankpct,0,0,0,0,0,0.0,0.0
sz_volume_signal_rankpct,0,0,0,0,0,0.0,0.0
sh_sz_sync_direction_rankpct,0,0,0,0,0,0.0,0.0
sh_sz_sync_strength_rankpct,0,0,0,0,0,0.0,0.0
sz_price_change_rankpct,0,0,0,0,0,0.0,0.0
return_lag_3_z,0,0,0,0,0,0.0,0.0
return_lag_2_z,0,0,0,0,0,0.0,0.0
support_resistance_ratio_lag_1_z,0,0,0,0,0,0.0,0.0
return_lag_1_z,0,0,0,0,0,0.0,0.0
daily_return_z,0,0,0,0,0,0.0,0.0
volume_lag_30_z,0,0,0,0,0,0.0,0.0
volume_lag_25_z,0,0,0,0,0,0.0,0.0
volume_lag_20_z,0,0,0,0,0,0.0,0.0
volume_lag_15_z,0,0,0,0,0,0.0,0.0
volume_lag_10_z,0,0,0,0,0,0.0,0.0
volume_lag_5_z,0,0,0,0,0,0.0,0.0
volume_lag_3_z,0,0,0,0,0,0.0,0.0
low_lag_30_z,0,0,0,0,0,0.0,0.0
high_lag_30_z,0,0,0,0,0,0.0,0.0
open_lag_30_z,0,0,0,0,0,0.0,0.0
rsi_turning_z,0,0,0,0,0,0.0,0.0
close_lag_10_z,0,0,0,0,0,0.0,0.0
open_lag_10_z,0,0,0,0,0,0.0,0.0
high_lag_10_z,0,0,0,0,0,0.0,0.0
low_lag_10_z,0,0,0,0,0,0.0,0.0
close_lag_15_z,0,0,0,0,0,0.0,0.0
open_lag_15_z,0,0,0,0,0,0.0,0.0
high_lag_15_z,0,0,0,0,0,0.0,0.0
close_lag_30_z,0,0,0,0,0,0.0,0.0
close_lag_20_z,0,0,0,0,0,0.0,0.0
open_lag_20_z,0,0,0,0,0,0.0,0.0
high_lag_20_z,0,0,0,0,0,0.0,0.0
low_lag_20_z,0,0,0,0,0,0.0,0.0
close_lag_25_z,0,0,0,0,0,0.0,0.0
open_lag_25_z,0,0,0,0,0,0.0,0.0
high_lag_25_z,0,0,0,0,0,0.0,0.0
low_lag_25_z,0,0,0,0,0,0.0,0.0
low_lag_15_z,0,0,0,0,0,0.0,0.0
smart_money_diff_lag_5_z,0,0,0,0,0,0.0,0.0
ret_intraday_lag_3_z,0,0,0,0,0,0.0,0.0
ret_overnight_lag_5_z,0,0,0,0,0,0.0,0.0
ret_overnight_lag_3_z,0,0,0,0,0,0.0,0.0
ret_intraday_lag_5_z,0,0,0,0,0,0.0,0.0
smart_money_diff_lag_3_z,0,0,0,0,0,0.0,0.0
ret_intraday_lag_1_z,0,0,0,0,0,0.0,0.0
ret_overnight_lag_1_z,0,0,0,0,0,0.0,0.0
smart_money_diff_lag_1_z,0,0,0,0,0,0.0,0.0
intraday_pos_lag_3_z,0,0,0,0,0,0.0,0.0
intraday_pos_lag_2_z,0,0,0,0,0,0.0,0.0
intraday_pos_lag_1_z,0,0,0,0,0,0.0,0.0
efficiency_ratio_lag_5_z,0,0,0,0,0,0.0,0.0
efficiency_ratio_lag_3_z,0,0,0,0,0,0.0,0.0
efficiency_ratio_lag_1_z,0,0,0,0,0,0.0,0.0
return_lag_5_z,0,0,0,0,0,0.0,0.0
return_lag_10_z,0,0,0,0,0,0.0,0.0
return_lag_20_z,0,0,0,0,0,0.0,0.0
amplitude_z,0,0,0,0,0,0.0,0.0
amplitude_lag_1_z,0,0,0,0,0,0.0,0.0
amplitude_lag_3_z,0,0,0,0,0,0.0,0.0
amplitude_lag_5_z,0,0,0,0,0,0.0,0.0
vol_gk_lag_1_z,0,0,0,0,0,0.0,0.0
illiq_lag_5_z,0,0,0,0,0,0.0,0.0
vol_gk_lag_3_z,0,0,0,0,0,0.0,0.0
vol_gk_ratio_lag_3_z,0,0,0,0,0,0.0,0.0
vol_gk_lag_5_z,0,0,0,0,0,0.0,0.0
vol_gk_ratio_lag_5_z,0,0,0,0,0,0.0,0.0
vol_gk_lag_10_z,0,0,0,0,0,0.0,0.0
vol_gk_ratio_lag_10_z,0,0,0,0,0,0.0,0.0
illiq_lag_1_z,0,0,0,0,0,0.0,0.0
illiq_lag_3_z,0,0,0,0,0,0.0,0.0
vol_gk_ratio_lag_1_z,0,0,0,0,0,0.0,0.0
macd_hist_amplitude_z,0,0,0,0,0,0.0,0.0
macd_zero_cross_z,0,0,0,0,0,0.0,0.0
macd_zero_cross_down_z,0,0,0,0,0,0.0,0.0
macd_zero_cross_up_z,0,0,0,0,0,0.0,0.0
return_lag_3_rankpct,0,0,0,0,0,0.0,0.0
macd_signal_cross_z,0,0,0,0,0,0.0,0.0
macd_death_cross_z,0,0,0,0,0,0.0,0.0
macd_hist_trend_5_z,0,0,0,0,0,0.0,0.0
volume_consistency_z,0,0,0,0,0,0.0,0.0
sh_volume_ratio_z,0,0,0,0,0,0.0,0.0
price_volume_divergence_z,0,0,0,0,0,0.0,0.0
sh_price_change_abs_z,0,0,0,0,0,0.0,0.0
sh_price_wave_abs_z,0,0,0,0,0,0.0,0.0
price_trend_5_z,0,0,0,0,0,0.0,0.0
volume_trend_10_z,0,0,0,0,0,0.0,0.0
low_lag_5_z,0,0,0,0,0,0.0,0.0
volatility_20d_z,0,0,0,0,0,0.0,0.0
volatility_30d_z,0,0,0,0,0,0.0,0.0
engulfing_pattern_z,0,0,0,0,0,0.0,0.0
signed_volume_strength_z,0,0,0,0,0,0.0,0.0
close_vs_high_z,0,0,0,0,0,0.0,0.0
volume_ma_ratio_z,0,0,0,0,0,0.0,0.0
sz_sentiment_z,0,0,0,0,0,0.0,0.0
sh_sentiment_z,0,0,0,0,0,0.0,0.0
rsi_momentum_z,0,0,0,0,0,0.0,0.0
rsi_turning_simple_z,0,0,0,0,0,0.0,0.0
sz_price_change_abs_z,0,0,0,0,0,0.0,0.0
volume_trend_5_z,0,0,0,0,0,0.0,0.0
sz_volume_ratio_z,0,0,0,0,0,0.0,0.0
sz_amplitude_z,0,0,0,0,0,0.0,0.0
sz_price_change_z,0,0,0,0,0,0.0,0.0
sh_volume_signal_z,0,0,0,0,0,0.0,0.0
sz_price_wave_abs_z,0,0,0,0,0,0.0,0.0
high_lag_5_z,0,0,0,0,0,0.0,0.0
open_lag_5_z,0,0,0,0,0,0.0,0.0
close_lag_5_z,0,0,0,0,0,0.0,0.0
low_lag_3_z,0,0,0,0,0,0.0,0.0
high_lag_3_z,0,0,0,0,0,0.0,0.0
close_lag_3_z,0,0,0,0,0,0.0,0.0
macd_robust_z,0,0,0,0,0,0.0,0.0
boxcox_atr_z,0,0,0,0,0,0.0,0.0
support_resistance_ratio_z,0,0,0,0,0,0.0,0.0
low_mean_20_z,0,0,0,0,0,0.0,0.0
high_mean_20_z,0,0,0,0,0,0.0,0.0
smart_money_diff_z,0,0,0,0,0,0.0,0.0
ret_intraday_z,0,0,0,0,0,0.0,0.0
ret_overnight_z,0,0,0,0,0,0.0,0.0
intraday_pos_z,0,0,0,0,0,0.0,0.0
sh_amplitude_z,0,0,0,0,0,0.0,0.0
macd_hist_acceleration_z,0,0,0,0,0,0.0,0.0
macd_signal_convergence_z,0,0,0,0,0,0.0,0.0
sh_price_change_z,0,0,0,0,0,0.0,0.0
macd_signal_convergence_trend_z,0,0,0,0,0,0.0,0.0
pct_change_z,0,0,0,0,0,0.0,0.0
clv_z,0,0,0,0,0,0.0,0.0
body_strength_z,0,0,0,0,0,0.0,0.0
efficiency_ratio_z,0,0,0,0,0,0.0,0.0
rank_volume_z,0,0,0,0,0,0.0,0.0
signed_vol_strength_z,0,0,0,0,0,0.0,0.0
pv_corr_10_z,0,0,0,0,0,0.0,0.0
