feature,family,event_only,main_train_ic,main_train_icir,main_train_pos_day,main_train_days,main_train_ic_ret10,main_train_icir_ret10,main_val_ic,main_val_icir,main_val_pos_day,main_val_days,main_val_ic_ret10,main_val_icir_ret10,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,n_valid_years,dir_consistent_year_share,pos_year_share,backup_train_ic,backup_train_icir,backup_train_pos_day,backup_train_days,backup_train_ic_ret10,backup_train_icir_ret10,backup_val_ic,backup_val_icir,backup_val_pos_day,backup_val_days,backup_val_ic_ret10,backup_val_icir_ret10,main_pass,main_fail_reason,backup_pass,backup_fail_reason,is_geo_control,decision,decision_reason
VOL_CONTRACTION60,波动率,False,-0.01598,-0.04798,0.45946,74,-0.02912,-0.08832,-0.09761,-0.30936,0.29524,105,-0.10551,-0.30470,-0.00547,0.06052,-0.00465,0.00430,-0.05139,-0.02823,0.13111,-0.05755,-0.07617,-0.05325,0.00406,0.01130,-0.00493,-0.28691,0.01226,-0.03381,-0.07325,-0.07861,-0.13751,-0.08528,-0.10166,0.01260,19,0.75000,0.25000,-0.04553,-0.13146,0.41038,636,-0.00723,-0.02035,-0.07975,-0.21864,0.35860,343,-0.02956,-0.07773,True,,True,,False,A,双池双段三关皆过，共线性幸存
BBW_PCTILE250,波动率,False,-0.04592,-0.14431,0.39189,74,-0.00241,-0.00635,-0.04349,-0.13301,0.39048,105,-0.03818,-0.10058,-0.09400,0.09368,0.08575,0.15007,0.06399,0.07843,-0.07332,0.00381,0.05049,-0.00556,-0.05304,-0.00515,0.06513,-0.18516,0.05780,-0.07032,-0.03424,-0.02399,-0.05331,-0.09592,-0.08226,-0.02308,19,1.00000,0.00000,-0.00788,-0.02186,0.42992,635,0.01121,0.03085,-0.06288,-0.17915,0.36842,342,-0.03194,-0.09157,True,,True,,False,A,双池双段三关皆过，共线性幸存
VMA5,量能,False,0.04299,0.13118,0.55405,74,-0.01541,-0.04210,0.01992,0.05114,0.51429,105,-0.03991,-0.11244,0.01226,-0.16878,-0.03059,-0.01339,-0.00069,-0.18818,-0.51713,-0.05967,-0.14287,0.07039,0.00104,0.09106,-0.05185,-0.13053,-0.12380,-0.07839,-0.02219,0.02049,-0.01623,0.02641,0.07412,-0.04503,19,1.00000,1.00000,-0.02176,-0.06014,0.43553,636,-0.09991,-0.28204,0.01380,0.03944,0.49563,343,-0.06069,-0.16183,False,|val ICIR|=0.051<0.1,False,符号相反;|val ICIR|=0.039<0.1,False,淘汰,主池三关未过: |val ICIR|=0.051<0.1
VSTD20,量能,False,-0.03604,-0.10393,0.33784,74,-0.05084,-0.12242,-0.10568,-0.28926,0.25714,105,-0.09424,-0.27221,-0.08074,0.00521,-0.05202,0.03003,-0.03682,-0.20500,-0.08489,0.00087,0.05467,0.05349,0.04100,0.09357,-0.01318,-0.26017,0.02039,-0.09801,-0.07862,-0.00821,-0.04128,0.01640,0.04092,-0.05506,19,0.75000,0.25000,-0.02377,-0.06955,0.41195,636,-0.07301,-0.19876,-0.00755,-0.02205,0.43732,343,-0.03207,-0.09075,True,,False,年度一致率0.53<0.55;|val ICIR|=-0.022<0.1,False,B,主池过、备池未过: 年度一致率0.53<0.55;|val ICIR|=-0.022<0.1
VOLUME_TREND10,量能,False,-0.04779,-0.13274,0.41892,74,-0.11206,-0.30509,0.01889,0.05221,0.43810,105,-0.05293,-0.16898,-0.11288,-0.15837,-0.04896,-0.05741,-0.09101,0.04445,-0.49650,-0.05518,-0.17533,0.22220,0.04204,0.11948,-0.06322,-0.23415,0.07487,0.00291,-0.00403,0.02893,0.02299,0.07914,0.08918,0.03522,19,0.50000,0.50000,-0.00852,-0.02480,0.46069,636,-0.06131,-0.16868,0.05759,0.16469,0.53644,343,-0.03245,-0.09584,False,符号相反;年度一致率0.50<0.55;|val ICIR|=0.052<0.1,False,符号相反;年度一致率0.47<0.55,False,淘汰,主池三关未过: 符号相反;年度一致率0.50<0.55;|val ICIR|=0.052<0.1
OBV_TREND,量能,False,-0.02118,-0.06018,0.41892,74,-0.05377,-0.13666,-0.00768,-0.02242,0.48571,105,-0.06646,-0.19623,0.03874,-0.09157,-0.08378,-0.04833,-0.12263,0.00896,-0.09424,-0.01523,0.16932,0.10768,0.04525,0.05101,-0.11135,-0.01407,-0.04538,-0.01783,-0.00632,-0.00746,0.04562,0.01315,0.09083,0.04943,19,0.75000,0.25000,-0.01419,-0.04125,0.43711,636,-0.06747,-0.18970,0.05554,0.15243,0.53644,343,-0.00586,-0.01595,False,|val ICIR|=-0.022<0.1,False,符号相反,False,淘汰,主池三关未过: |val ICIR|=-0.022<0.1
OBV_DIV,量价背离,False,-0.00232,-0.00761,0.40541,74,-0.00794,-0.02332,-0.02147,-0.06926,0.40000,105,-0.01508,-0.04429,-0.02107,0.02394,0.00417,-0.01657,0.05076,0.21444,-0.11367,-0.01645,0.17213,-0.07278,-0.03833,-0.07321,0.00033,0.03202,0.00560,0.04531,0.01741,0.01563,-0.03172,0.00246,0.02292,-0.01463,19,0.50000,0.50000,0.00187,0.00534,0.45440,636,0.02645,0.07519,-0.00362,-0.00973,0.45481,343,-0.00510,-0.01304,False,年度一致率0.50<0.55;|val ICIR|=-0.069<0.1,False,符号相反;|val ICIR|=-0.010<0.1,False,淘汰,主池三关未过: 年度一致率0.50<0.55;|val ICIR|=-0.069<0.1
PVR20,量价背离,False,-0.06542,-0.19243,0.36486,74,-0.09785,-0.30981,-0.01205,-0.03244,0.44762,105,-0.02880,-0.08630,-0.05433,-0.20171,-0.08295,0.00463,-0.13938,-0.01839,-0.03829,-0.00618,-0.36491,0.01576,0.08187,-0.04744,-0.11142,-0.14804,-0.04816,0.07844,-0.01663,-0.04266,-0.00338,0.01530,0.07150,-0.03712,19,0.75000,0.25000,-0.03277,-0.09341,0.41352,636,-0.09221,-0.25901,0.01613,0.04435,0.44898,343,-0.03219,-0.09083,False,|val ICIR|=-0.032<0.1,False,符号相反;|val ICIR|=0.044<0.1,False,淘汰,主池三关未过: |val ICIR|=-0.032<0.1
VSHRINK,量价背离,False,0.00938,0.02642,0.39189,74,-0.00488,-0.01361,-0.06858,-0.21682,0.37143,105,-0.07964,-0.22746,-0.08192,0.10208,-0.05307,0.01897,-0.06243,-0.05792,-0.29415,0.00541,0.04991,-0.14666,0.11279,-0.05123,-0.00120,0.01747,0.01322,0.09118,-0.01954,0.04526,-0.00417,-0.02507,0.04541,-0.02361,19,0.25000,0.25000,0.00742,0.02243,0.48742,636,0.02442,0.06969,0.00354,0.01018,0.44606,343,0.03547,0.09837,False,符号相反;年度一致率0.25<0.55,False,年度一致率0.47<0.55;|val ICIR|=0.010<0.1,False,淘汰,主池三关未过: 符号相反;年度一致率0.25<0.55
VOL_DRYUP_EXTREME,量能,False,0.01066,0.03545,0.50000,44,0.02722,0.08082,0.07050,0.21987,0.64789,71,0.07031,0.23323,0.12382,-0.05492,-0.15431,-0.03370,0.01596,,0.00000,-0.00187,0.10847,-0.01625,-0.03488,0.10022,0.05741,0.20874,-0.06132,0.06629,-0.00272,-0.03861,-0.00536,-0.01709,0.01020,-0.04658,14,0.75000,0.75000,0.00601,0.01815,0.48072,389,0.00193,0.00630,-0.01268,-0.04337,0.51389,216,-0.02948,-0.10229,True,,False,符号相反;年度一致率0.36<0.55;|val ICIR|=-0.043<0.1,False,B,主池过、备池未过: 符号相反;年度一致率0.36<0.55;|val ICIR|=-0.043<0.1
