candidate,config_id,num_leaves,min_data_in_leaf,learning_rate,feature_fraction,best_iters,final_num_boost_round,calib_coef_p,calib_coef_p2,calib_intercept,train_oof_n_events,train_oof_n_days,train_oof_n_selected,train_oof_top5_net_dayavg,train_oof_top5_net_cluster_t,train_oof_top5_hit_eventavg,train_oof_top5_hit_dayavg,train_oof_base_rate,train_oof_average_precision,train_oof_precision_at_5_dayavg,train_oof_precision_at_5_eventavg,val_n_events,val_n_days,val_n_selected,val_top5_net_dayavg,val_top5_net_cluster_t,val_top5_hit_eventavg,val_top5_hit_dayavg,val_base_rate,val_average_precision,val_precision_at_5_dayavg,val_precision_at_5_eventavg
net_pos_20d,10,15,200,0.1,0.6,"1,3,105,2,53",33,2.6218838591058584,-1.0044309754837097,-0.9444325313680055,44514,2980,11042,0.0036037839033904485,2.0957279214762776,0.48541930809635936,0.48137583892617447,0.5201509637417442,0.585622659444542,0.48137583892617447,0.48541930809635936,24279,901,4233,-0.0006310988033453875,-0.12480496972229602,0.4476730451216631,0.4448945615982242,0.49030025948350425,0.4858552923924261,0.4448945615982242,0.4476730451216631
net_pos_20d,11,15,200,0.1,0.8,"1,9,63,2,111",37,0.8108877030435921,0.9695517968329652,-0.575952076390071,44514,2980,11042,0.0035632179750984664,2.0869727686062367,0.48804564390508964,0.4833221476510067,0.5201509637417442,0.6091102665476951,0.4833221476510067,0.48804564390508964,24279,901,4233,-0.0016914764436621011,-0.5250560277877709,0.44814552326954876,0.445338512763596,0.49030025948350425,0.5181180880598617,0.445338512763596,0.44814552326954876
net_pos_20d,12,31,50,0.05,0.6,"2,6,119,152,17",59,-3.0491276077352705,4.383628844439844,0.42124601642572956,44514,2980,11042,0.0038209586620715605,2.0874492221119674,0.4872305741713458,0.48271812080536913,0.5201509637417442,0.5863269449808992,0.48271812080536913,0.4872305741713458,24279,901,4233,1.1589090795155188e-05,0.10514265839867398,0.4568863690054335,0.45355160932297445,0.49030025948350425,0.5064261819419642,0.45355160932297445,0.4568863690054335
net_pos_20d,13,31,50,0.05,0.8,"4,7,156,5,32",41,0.5036923708958596,0.6957318094088135,-0.37896898531188167,44514,2980,11042,0.0033564483419001975,1.9897894295516856,0.4898569099800761,0.48466442953020133,0.5201509637417442,0.5779215059825402,0.48466442953020133,0.4898569099800761,24279,901,4233,-0.002755874960166739,-0.9817745409877483,0.44838176234349164,0.44556048834628187,0.49030025948350425,0.48553274655803824,0.44556048834628187,0.44838176234349164
net_pos_20d,14,31,50,0.1,0.6,"2,6,153,118,33",62,0.1188272624596992,1.2879977887959182,-0.33268121248873234,44514,2980,11042,0.004223058531982914,2.470487127472464,0.49166817605506247,0.48600671140939594,0.5201509637417442,0.594376337205307,0.48600671140939594,0.49166817605506247,24279,901,4233,0.00044008482255612573,0.258563401521761,0.45216158752657687,0.44911209766925636,0.49030025948350425,0.5040835250366276,0.44911209766925636,0.45216158752657687
net_pos_20d,15,31,50,0.1,0.8,"4,3,157,4,71",48,0.6562519259279139,0.8217837498019499,-0.4655439358220442,44514,2980,11042,0.0032074549778867874,1.940442264935891,0.48686832095634847,0.4824496644295302,0.5201509637417442,0.6003724875471408,0.4824496644295302,0.48686832095634847,24279,901,4233,-0.00039739761533548614,-0.04855064354573163,0.4505079140089771,0.44755826859045506,0.49030025948350425,0.5030645767009458,0.44755826859045506,0.4505079140089771
net_pos_20d,16,31,100,0.05,0.6,"1,7,158,132,16",63,-2.1059894995186377,3.004382367538185,0.314944781370829,44514,2980,11042,0.0034985335665052007,2.043664562361789,0.4892229668538308,0.48419463087248327,0.5201509637417442,0.5701588295203879,0.48419463087248327,0.4892229668538308,24279,901,4233,-0.0013566395289650907,-0.4028404665804385,0.44861800141743446,0.4457824639289678,0.49030025948350425,0.4774533150288497,0.4457824639289678,0.44861800141743446
net_pos_20d,17,31,100,0.05,0.8,"1,9,101,11,192",63,1.9328074160682143,-0.4799064241843873,-0.7153832251339414,44514,2980,11042,0.0038093025225339264,2.2587673192822724,0.4895852200688281,0.4844630872483221,0.5201509637417442,0.5902785964796913,0.4844630872483221,0.4895852200688281,24279,901,4233,0.0018121542350402057,0.7818508422431585,0.4528703047484054,0.44977802441731407,0.49030025948350425,0.4925652532294169,0.44977802441731407,0.4528703047484054
net_pos_20d,18,31,100,0.1,0.6,"1,7,45,116,45",43,-1.102579382462155,2.232766104338485,0.018414461732342922,44514,2980,11042,0.0031564991133605108,1.8774364071910195,0.48460423836261546,0.48077181208053693,0.5201509637417442,0.5879543044344978,0.48077181208053693,0.48460423836261546,24279,901,4233,0.0020823191725589793,0.8500218180332296,0.4580675643751477,0.454661487236404,0.49030025948350425,0.4860572039484101,0.454661487236404,0.4580675643751477
net_pos_20d,19,31,100,0.1,0.8,"1,13,40,112,78",49,-1.240785294908053,2.4145303953423336,0.010171163624467596,44514,2980,11042,0.0032464160785584386,1.9390168500700393,0.48913240355008153,0.48412751677852356,0.5201509637417442,0.5994621462722197,0.48412751677852356,0.48913240355008153,24279,901,4233,-0.00024984350644242546,0.007101434023986362,0.45098039215686275,0.4480022197558269,0.49030025948350425,0.4842457348997279,0.4480022197558269,0.45098039215686275
net_pos_20d,20,31,200,0.05,0.6,"1,11,135,1,8",31,0.3327684303817148,0.4679901724219847,-0.22460165839328636,44514,2980,11042,0.003565980235659951,2.054780292527932,0.4829740988951277,0.47956375838926174,0.5201509637417442,0.5524098481957777,0.47956375838926174,0.4829740988951277,24279,901,4233,-0.0007900042505779561,-0.1927985427088787,0.45357902197023386,0.45044395116537184,0.49030025948350425,0.4799604886984521,0.45044395116537184,0.45357902197023386
net_pos_20d,21,31,200,0.05,0.8,"1,13,213,8,5",48,-0.8951468547412802,1.8429515599121713,0.015242774540302404,44514,2980,11042,0.0028596739701727105,1.7075251348526994,0.4836080420213729,0.48003355704697986,0.5201509637417442,0.567469561095864,0.48003355704697986,0.4836080420213729,24279,901,4233,-0.0010761809441924765,-0.2993253439624301,0.44838176234349164,0.445560488346282,0.49030025948350425,0.49668606402819104,0.445560488346282,0.44838176234349164
net_pos_20d,22,31,200,0.1,0.6,"1,1,30,1,7",8,0.6280444272476885,0.8157148062105246,-0.46266647146246564,44514,2980,11042,0.0029446798355630853,1.7450666641149064,0.483336352110125,0.4798322147651007,0.5201509637417442,0.5666383844050547,0.4798322147651007,0.483336352110125,24279,901,4233,-0.0020157531844068274,-0.6064137324971655,0.44554689345617765,0.44289678135405103,0.49030025948350425,0.4721406534400367,0.44289678135405103,0.44554689345617765
net_pos_20d,23,31,200,0.1,0.8,"1,1,59,318,71",90,-1.8256881148232629,3.0203948164364447,0.13398784666108982,44514,2980,11042,0.0030873886715516922,1.844649365805069,0.4850570548813621,0.4811073825503356,0.5201509637417442,0.6066746135398293,0.4811073825503356,0.4850570548813621,24279,901,4233,-0.00012783708080219979,0.053411676290507325,0.45216158752657687,0.44911209766925636,0.49030025948350425,0.4903263587314952,0.44911209766925636,0.45216158752657687
net_pos_20d,24,63,50,0.05,0.6,"2,12,175,176,9",75,-2.4877816199473965,3.867236685771519,0.2648958155963021,44514,2980,11042,0.002845604788506909,1.7353965549058155,0.488136207208839,0.48338926174496644,0.5201509637417442,0.5931172333623774,0.48338926174496644,0.488136207208839,24279,901,4233,0.00020319875345889955,0.17504535564508694,0.45617765178360503,0.4528856825749168,0.49030025948350425,0.5036812170636441,0.4528856825749168,0.45617765178360503
net_pos_20d,25,63,50,0.05,0.8,"4,1,126,7,4",28,-1.715486155927785,2.4471366646680743,0.2879447631625712,44514,2980,11042,0.002604424210379208,1.4983569734895583,0.4827024089838797,0.47936241610738256,0.5201509637417442,0.5631371377482524,0.47936241610738256,0.4827024089838797,24279,901,4233,-0.0005065673101647376,-0.08640472321836999,0.44389321993857783,0.4413429522752497,0.49030025948350425,0.503475899788455,0.4413429522752497,0.44389321993857783
net_pos_20d,26,63,50,0.1,0.6,"2,3,29,306,32",74,-0.7083814724370988,2.0525886801813775,-0.14389359893734424,44514,2980,11042,0.003367898995998674,2.0166101813862634,0.48831733381633763,0.48352348993288585,0.5201509637417442,0.6059001014390821,0.48352348993288585,0.48831733381633763,24279,901,4233,0.002831021275665779,1.169479930099919,0.46279234585400425,0.45910099889012207,0.49030025948350425,0.5165007015294829,0.45910099889012207,0.46279234585400425
net_pos_20d,27,63,50,0.1,0.8,"2,6,71,4,7",18,-1.7310418843433046,2.6922177816708213,0.19441727812165058,44514,2980,11042,0.00190732377706417,1.2329427183075001,0.4844231117551168,0.48063758389261746,0.5201509637417442,0.5786945973414404,0.48063758389261746,0.4844231117551168,24279,901,4233,-0.0028733415785134908,-0.9696256836983039,0.4398771556815497,0.43756936736958935,0.49030025948350425,0.4756494028591076,0.43756936736958935,0.4398771556815497
net_pos_20d,28,63,100,0.05,0.6,"1,7,193,117,204",104,0.683097130049575,0.7676706130977675,-0.43788731011653365,44514,2980,11042,0.004347093633170297,2.5089588375448706,0.49058141641007064,0.4852013422818792,0.5201509637417442,0.5999982604221827,0.4852013422818792,0.49058141641007064,24279,901,4233,-0.0009655825909124308,-0.2548612551781205,0.4497991967871486,0.4468923418423973,0.49030025948350425,0.4885325244196018,0.4468923418423973,0.4497991967871486
net_pos_20d,29,63,100,0.05,0.8,"1,10,128,430,12",116,-2.767504034910699,3.735004440093223,0.41210099706266995,44514,2980,11042,0.0032572324437363095,1.7974296029757797,0.48623437783010326,0.4819798657718121,0.5201509637417442,0.5840954317390766,0.4819798657718121,0.48623437783010326,24279,901,4233,0.00017598822496777048,0.16771072584057234,0.4448381762343492,0.4422308546059933,0.49030025948350425,0.5088290464116869,0.4422308546059933,0.4448381762343492
net_pos_20d,30,63,100,0.1,0.6,"1,8,35,170,50",53,-1.5987739193482118,2.8694046846884196,0.05877788364443007,44514,2980,11042,0.0019532770056023678,1.2405301586310655,0.48288353559137837,0.47949664429530203,0.5201509637417442,0.6023378755390167,0.47949664429530203,0.48288353559137837,24279,901,4233,0.0020614766791274717,0.8795046203634828,0.4583038034490905,0.4548834628190899,0.49030025948350425,0.48086656047059984,0.4548834628190899,0.4583038034490905
net_pos_20d,31,63,100,0.1,0.8,"1,7,46,150,45",50,-1.4654339490289807,2.358213463627576,0.1280555107050025,44514,2980,11042,0.002607431387154603,1.581136526967837,0.4847853649701141,0.48090604026845635,0.5201509637417442,0.5833731608611363,0.48090604026845635,0.4847853649701141,24279,901,4233,-0.0015641128604539473,-0.5077480910585184,0.4514528703047484,0.4484461709211986,0.49030025948350425,0.4957105779226024,0.4484461709211986,0.4514528703047484
net_pos_20d,32,63,200,0.05,0.6,"1,11,214,1,6",47,0.3708218798392485,0.5149309765451905,-0.25710570686581724,44514,2980,11042,0.00406933885737435,2.3236838117922365,0.4882267705125883,0.4834563758389261,0.5201509637417442,0.5556234729362064,0.4834563758389261,0.4882267705125883,24279,901,4233,0.0005680880090784209,0.2989040464965214,0.4578313253012048,0.4544395116537181,0.49030025948350425,0.4832160480029646,0.4544395116537181,0.4578313253012048
net_pos_20d,33,63,200,0.05,0.8,"1,9,82,8,26",25,-3.5307675161329994,4.11637711062478,0.721825940521283,44514,2980,11042,0.0034904912078609,1.9016186310755288,0.4844231117551168,0.48063758389261746,0.5201509637417442,0.5708497236490697,0.48063758389261746,0.4844231117551168,24279,901,4233,0.0020850907961529695,0.868648382499268,0.4514528703047484,0.4484461709211987,0.49030025948350425,0.45793360129805105,0.4484461709211987,0.4514528703047484
net_pos_20d,34,63,200,0.1,0.6,"1,1,22,1,8",7,0.5736332641088023,0.7786813880844116,-0.4245377079647514,44514,2980,11042,0.0023871753411402576,1.4507286976090055,0.4827024089838797,0.47936241610738256,0.5201509637417442,0.5618391769154695,0.47936241610738256,0.4827024089838797,24279,901,4233,-0.0015803403492421822,-0.5044437338817062,0.4528703047484054,0.44977802441731407,0.49030025948350425,0.4741506356304705,0.44977802441731407,0.4528703047484054
net_pos_20d,35,63,200,0.1,0.8,"1,1,30,136,42",42,-1.3784747801011112,2.530818435074699,0.04425737799152505,44514,2980,11042,0.002571297642582484,1.5710217780314812,0.4834269154138743,0.4798993288590604,0.5201509637417442,0.6013309593886471,0.4798993288590604,0.4834269154138743,24279,901,4233,0.0005006568566623204,0.2977256868747942,0.4632648240018899,0.4595449500554939,0.49030025948350425,0.48204153426766944,0.4595449500554939,0.4632648240018899
