column,source,cn_name,status
COV_HLR_LOGV_60,s2,"Cov(H/L,log(V+1),60)",kept
COV_R_LOGV_10,s2,"Cov(pct_chg/100,log(V+1),10)",kept
COV_R_LOGV_20,s2,"Cov(pct_chg/100,log(V+1),20)",kept
COV_R_LOGV_3,s2,"Cov(pct_chg/100,log(V+1),3)",kept
COV_R_LOGV_30,s2,"Cov(pct_chg/100,log(V+1),30)",kept
COV_R_LOGV_5,s2,"Cov(pct_chg/100,log(V+1),5)",kept
COV_R_LOGV_60,s2,"Cov(pct_chg/100,log(V+1),60)","dropped_dedup(anchor=DVOL, rho=0.999386)"
COV_R_RIDX_10,s2,"Cov(pct_chg/100,R_idx(000001.SH),10)",kept
COV_R_RIDX_20,s2,"Cov(pct_chg/100,R_idx(000001.SH),20)",kept
COV_R_RIDX_3,s2,"Cov(pct_chg/100,R_idx(000001.SH),3)",kept
COV_R_RIDX_30,s2,"Cov(pct_chg/100,R_idx(000001.SH),30)",kept
COV_R_RIDX_5,s2,"Cov(pct_chg/100,R_idx(000001.SH),5)",kept
COV_R_RIDX_60,s2,"Cov(pct_chg/100,R_idx(000001.SH),60)",kept
CPV10,s1,"量价相关｜Corr(C~, V, 10)",kept
CPV20,s1,"量价相关｜Corr(C~, V, 20)",kept
CPV_TREND,s1,"量价相关｜Slope(Corr(C~,V,10), 10)",kept
CPV_VWAP10,s1,"量价相关｜-Corr(A/V, V, 10)",kept
CUMID20,s1,"隔夜/日内｜Sum(log1p(RET_ID), 20)",kept
CUMON20,s1,"隔夜/日内｜Sum(log1p(RET_ON), 20)",kept
DAYS_SINCE_L2,s1,事件结构｜T-i2 (= confirm_lag),kept
DELTA_A_10,s2,"Delta(A,10)/(x+1)",kept
DELTA_A_20,s2,"Delta(A,20)/(x+1)",kept
DELTA_A_3,s2,"Delta(A,3)/(x+1)",kept
DELTA_A_30,s2,"Delta(A,30)/(x+1)",kept
DELTA_A_5,s2,"Delta(A,5)/(x+1)",kept
DELTA_A_60,s2,"Delta(A,60)/(x+1)",kept
DELTA_CF_10,s2,"Delta(CF,10)/C̃",kept
DELTA_CF_20,s2,"Delta(CF,20)/C̃",kept
DELTA_CF_3,s2,"Delta(CF,3)/C̃",kept
DELTA_CF_30,s2,"Delta(CF,30)/C̃",kept
DELTA_CF_5,s2,"Delta(CF,5)/C̃",kept
DELTA_CF_60,s2,"Delta(CF,60)/C̃",kept
DELTA_CLOSE_10,s2,"Delta(C̃,10)/C̃","dropped_dedup(anchor=DELTA_CF_10, rho=1.000000)"
DELTA_CLOSE_20,s2,"Delta(C̃,20)/C̃","dropped_dedup(anchor=DELTA_CF_20, rho=1.000000)"
DELTA_CLOSE_3,s2,"Delta(C̃,3)/C̃","dropped_dedup(anchor=DELTA_CF_3, rho=1.000000)"
DELTA_CLOSE_30,s2,"Delta(C̃,30)/C̃","dropped_dedup(anchor=DELTA_CF_30, rho=1.000000)"
DELTA_CLOSE_5,s2,"Delta(C̃,5)/C̃","dropped_dedup(anchor=DELTA_CF_5, rho=1.000000)"
DELTA_CLOSE_60,s2,"Delta(C̃,60)/C̃","dropped_dedup(anchor=DELTA_CF_60, rho=1.000000)"
DELTA_HIGH_10,s2,"Delta(H̃,10)/C̃",kept
DELTA_HIGH_20,s2,"Delta(H̃,20)/C̃",kept
DELTA_HIGH_3,s2,"Delta(H̃,3)/C̃",kept
DELTA_HIGH_30,s2,"Delta(H̃,30)/C̃",kept
DELTA_HIGH_5,s2,"Delta(H̃,5)/C̃",kept
DELTA_HIGH_60,s2,"Delta(H̃,60)/C̃",kept
DELTA_HLR_10,s2,"Delta(H/L,10)",kept
DELTA_HLR_20,s2,"Delta(H/L,20)",kept
DELTA_HLR_3,s2,"Delta(H/L,3)",kept
DELTA_HLR_30,s2,"Delta(H/L,30)",kept
DELTA_HLR_5,s2,"Delta(H/L,5)",kept
DELTA_HLR_60,s2,"Delta(H/L,60)",kept
DELTA_LOGV_10,s2,"Delta(log(V+1),10)",kept
DELTA_LOGV_20,s2,"Delta(log(V+1),20)",kept
DELTA_LOGV_3,s2,"Delta(log(V+1),3)",kept
DELTA_LOGV_30,s2,"Delta(log(V+1),30)",kept
DELTA_LOGV_5,s2,"Delta(log(V+1),5)",kept
DELTA_LOGV_60,s2,"Delta(log(V+1),60)",kept
DELTA_LOW_10,s2,"Delta(L̃,10)/C̃",kept
DELTA_LOW_20,s2,"Delta(L̃,20)/C̃",kept
DELTA_LOW_3,s2,"Delta(L̃,3)/C̃",kept
DELTA_LOW_30,s2,"Delta(L̃,30)/C̃",kept
DELTA_LOW_5,s2,"Delta(L̃,5)/C̃",kept
DELTA_LOW_60,s2,"Delta(L̃,60)/C̃",kept
DELTA_OPEN_10,s2,"Delta(Õ,10)/C̃",kept
DELTA_OPEN_20,s2,"Delta(Õ,20)/C̃",kept
DELTA_OPEN_3,s2,"Delta(Õ,3)/C̃",kept
DELTA_OPEN_30,s2,"Delta(Õ,30)/C̃",kept
DELTA_OPEN_5,s2,"Delta(Õ,5)/C̃",kept
DELTA_OPEN_60,s2,"Delta(Õ,60)/C̃",kept
DELTA_RETID_10,s2,"Delta(C/O-1,10)",kept
DELTA_RETID_20,s2,"Delta(C/O-1,20)",kept
DELTA_RETID_3,s2,"Delta(C/O-1,3)",kept
DELTA_RETID_30,s2,"Delta(C/O-1,30)",kept
DELTA_RETID_5,s2,"Delta(C/O-1,5)",kept
DELTA_RETID_60,s2,"Delta(C/O-1,60)",kept
DELTA_RETON_10,s2,"Delta(O/PC-1,10)",kept
DELTA_RETON_20,s2,"Delta(O/PC-1,20)",kept
DELTA_RETON_3,s2,"Delta(O/PC-1,3)",kept
DELTA_RETON_30,s2,"Delta(O/PC-1,30)",kept
DELTA_RETON_5,s2,"Delta(O/PC-1,5)",kept
DELTA_RETON_60,s2,"Delta(O/PC-1,60)",kept
DELTA_R_10,s2,"Delta(pct_chg/100,10)",kept
DELTA_R_20,s2,"Delta(pct_chg/100,20)",kept
DELTA_R_3,s2,"Delta(pct_chg/100,3)",kept
DELTA_R_30,s2,"Delta(pct_chg/100,30)",kept
DELTA_R_5,s2,"Delta(pct_chg/100,5)",kept
DELTA_R_60,s2,"Delta(pct_chg/100,60)",kept
DELTA_VWAP_10,s2,"Delta(A/V,10)/C",kept
DELTA_VWAP_20,s2,"Delta(A/V,20)/C",kept
DELTA_VWAP_3,s2,"Delta(A/V,3)/C",kept
DELTA_VWAP_30,s2,"Delta(A/V,30)/C",kept
DELTA_VWAP_5,s2,"Delta(A/V,5)/C",kept
DELTA_VWAP_60,s2,"Delta(A/V,60)/C",kept
DELTA_V_10,s2,"Delta(V,10)/(x+1)",kept
DELTA_V_20,s2,"Delta(V,20)/(x+1)",kept
DELTA_V_3,s2,"Delta(V,3)/(x+1)",kept
DELTA_V_30,s2,"Delta(V,30)/(x+1)",kept
DELTA_V_5,s2,"Delta(V,5)/(x+1)",kept
