,2022,2023,2024,2025,mean_delta,years_above_null95
log_volume,8.985551471063502e-05,-2.1372481519010833e-06,8.191860860307099e-05,-9.339194691482255e-06,4.007442011758067e-05,0
open_lag_25_rankpct,0.0,0.0,0.00014287380644151249,0.0,3.571845161037812e-05,0
vol_gk_lag_3,5.320596023294932e-05,-2.026367281304786e-06,2.330552687351828e-05,5.944662541901291e-05,3.348293631104393e-05,0
volume_lag_10,6.660061892038716e-05,7.929448698285047e-05,6.136471712880898e-06,-1.992659073157821e-05,3.302624672113508e-05,0
volatility_20d,9.00071806210212e-05,2.32935551547353e-05,8.512867788301737e-06,8.623517492534205e-06,3.260928026414811e-05,0
open_lag_25,6.202206017014156e-05,1.16212600432819e-05,4.731547730990604e-05,-3.578056784414585e-06,2.9345185184728728e-05,0
volume_lag_5_z,0.0,0.0,0.00011389920113358265,0.0,2.8474800283395663e-05,0
illiq_rankpct,-1.1233872573068737e-05,2.9810412090380822e-05,0.00010857806159370043,-2.379648462846884e-05,2.5839529120635918e-05,0
price_vs_ma20_z,4.404294521831442e-05,2.465734214474047e-06,1.570248415622144e-05,3.2111362324505066e-05,2.3580631478378744e-05,0
pv_corr_10_rankpct,3.495115728724407e-05,3.395319701687827e-05,-1.7446979913404714e-05,3.805374644949566e-05,2.2377780210053322e-05,0
macd_hist_acceleration,9.339505122607505e-07,-6.113130368579078e-08,9.169611588710769e-05,-3.7397813984485495e-06,2.2207288424308524e-05,0
support_resistance_ratio_lag_1,-0.0002512241833645401,0.00010907218109212913,0.0003599634493214321,-0.00013497179943511295,2.070991190347704e-05,0
macd_robust,9.600561134082142e-06,1.7159730076488078e-05,7.871464718645083e-06,3.712795507748723e-05,1.7939927751675633e-05,0
illiq_lag_5_z,0.0,9.406819280077805e-06,6.329680541095062e-06,5.595410723246985e-05,1.792265176341068e-05,0
rank_volume_z,-4.932523703815583e-06,-3.347838022205174e-05,3.625850489741289e-06,0.00010605593913148859,1.7817721423840638e-05,0
macd_signal_cross_rankpct,2.468501623242858e-05,-1.8491943261977895e-05,-7.502326463959541e-07,5.544723432293619e-05,1.522251866174773e-05,0
rsi_momentum,0.0,0.0,6.084659673255555e-05,0.0,1.5211649183138887e-05,0
volatility_30d,8.179403921948492e-06,5.690448697948103e-05,-8.938989690565613e-06,2.7953914487621745e-06,1.473507316490652e-05,0
macd_z,-3.960716520201579e-06,-8.290803437727146e-06,6.059579763362244e-05,7.070124725006011e-06,1.3853600600174931e-05,0
signed_volume_strength_rankpct,2.5902225206042573e-05,-3.1865893691862546e-05,7.183077870287491e-07,5.5215431154276295e-05,1.2492517613871268e-05,0
prev_idx,7.5575790342563565e-06,3.934813152584038e-06,2.6506184863328563e-05,4.157699640572332e-06,1.0539069172685323e-05,0
macd_signal_distance,-1.2443078528878715e-05,-1.4289186378246832e-05,4.6251225884530456e-05,2.174630381968079e-05,1.0316316199271425e-05,0
pct_change,5.431360332597279e-07,0.0,4.034443153599909e-05,0.0,1.0221891892314705e-05,0
amplitude_lag_1,-9.233455478208086e-06,-1.7133082088727214e-05,-2.6001300418188045e-05,9.257519107785939e-05,1.005183827318401e-05,0
rsi_24_z,0.0,0.0,3.682625614082058e-05,0.0,9.206564035205145e-06,0
atr,-3.3102754470881735e-07,4.6370521753491545e-06,2.6369770706080597e-05,0.0,7.668948834180234e-06,0
price_vs_ma60_rankpct,2.5050951908967e-05,-1.1954997972130066e-05,1.2250564288107668e-05,4.947467599047961e-06,7.573496455998141e-06,0
close_lag_3,-1.3413940957995862e-08,0.0,2.7193873955277947e-05,0.0,6.795115003579988e-06,0
intraday_pos_lag_1_z,1.8699026642199357e-05,-9.652330917653273e-06,3.8340129518976696e-06,1.2526353933339784e-05,6.351765652445884e-06,0
ma_arrangement_z,0.0,0.0,1.9173442677544728e-05,0.0,4.793360669386182e-06,0
rank_return,1.7636368237705646e-05,0.0,-4.374976219523319e-06,5.232392243259554e-06,4.62344606536047e-06,0
efficiency_ratio_rankpct,0.0,0.0,1.679420909495022e-05,0.0,4.198552273737555e-06,0
high_lag_3,-4.753670038515345e-05,2.009806246672241e-05,1.2051703459969865e-05,2.9559795389100252e-05,3.5432152326597688e-06,0
rsi_6_rankpct,0.0,0.0,1.3037302032614662e-05,0.0,3.2593255081536654e-06,0
volatility_25d_rankpct,8.56109402425087e-06,0.0,3.3528419224881922e-06,0.0,2.9784839866847657e-06,0
upper_shadow_ratio,0.0,7.056230187374446e-06,2.731359644292386e-06,7.659741226850869e-07,2.6383909885879797e-06,0
volume_ratio,5.159517187269813e-06,5.569509379355075e-06,5.451861865957142e-06,-9.392378476968943e-06,1.6971274889032717e-06,0
close_lag_30_rankpct,0.0,0.0,6.701265344077889e-06,0.0,1.6753163360194723e-06,0
amplitude_lag_3_z,0.0,-1.0869167051952289e-06,7.614852700510433e-06,0.0,1.631983998828801e-06,0
volatility_5d_z,0.0,0.0,5.530844877532637e-06,0.0,1.3827112193831592e-06,0
close_lag_25_z,0.0,0.0,1.4889541014584395e-06,0.0,3.722385253646099e-07,0
boxcox_atr_rankpct,0.0,0.0,1.411224505254438e-06,0.0,3.528061263136095e-07,0
ret_intraday_lag_1,0.0,0.0,1.1203987376751101e-06,0.0,2.8009968441877753e-07,0
distance_to_support,-1.0314568399949486e-05,1.1720899555367481e-06,2.24020198058561e-07,9.75084460164144e-06,2.080965888218156e-07,0
return_lag_20,0.0,0.0,7.088325115756078e-07,0.0,1.7720812789390195e-07,0
ret_intraday_lag_5_z,0.0,0.0,0.0,0.0,0.0,0
divergence_strength,0.0,0.0,0.0,0.0,0.0,0
formation_period,0.0,0.0,0.0,0.0,0.0,0
market_sentiment_z,0.0,0.0,0.0,0.0,0.0,0
market_avg_change_z,0.0,0.0,0.0,0.0,0.0,0
market_avg_amplitude_z,0.0,0.0,0.0,0.0,0.0,0
rsi_overbought_24,0.0,0.0,0.0,0.0,0.0,0
rsi_overbought_14,0.0,0.0,0.0,0.0,0.0,0
rsi_overbought_6,0.0,0.0,0.0,0.0,0.0,0
rsi_oversold_24,0.0,0.0,0.0,0.0,0.0,0
rsi_oversold_14,0.0,0.0,0.0,0.0,0.0,0
rsi_oversold_6,0.0,0.0,0.0,0.0,0.0,0
bb_squeeze,0.0,0.0,0.0,0.0,0.0,0
volume_ma_ratio,0.0,0.0,0.0,0.0,0.0,0
close_vs_high,0.0,0.0,0.0,0.0,0.0,0
rank_return_z,0.0,0.0,0.0,0.0,0.0,0
body_strength_z,0.0,0.0,0.0,0.0,0.0,0
high_mean_20_z,0.0,0.0,0.0,0.0,0.0,0
smart_money_diff_z,0.0,0.0,0.0,0.0,0.0,0
ret_intraday_z,0.0,0.0,0.0,0.0,0.0,0
