candidate,config_id,num_leaves,min_data_in_leaf,learning_rate,feature_fraction,best_iters,final_num_boost_round,calib_coef_p,calib_coef_p2,calib_intercept,train_oof_n_events,train_oof_base_rate,train_oof_average_precision,train_oof_n_days,train_oof_n_selected,train_oof_precision_at_5_dayavg,train_oof_precision_at_5_eventavg,val_n_events,val_base_rate,val_average_precision,val_n_days,val_n_selected,val_precision_at_5_dayavg,val_precision_at_5_eventavg
hit_N20_k2.0,23,31,200,0.1,0.8,"4,59,15,36,20",27,-1.4740507595418337,2.9923583843969777,0.021069707555289554,20795,0.5523443135369079,0.6313900152106997,1970,6131,0.5331725888324873,0.5436307290817158,10219,0.5973187200313143,0.6274747497286934,778,3083,0.5688517566409598,0.5682776516380149
hit_N20_k2.0,24,63,50,0.05,0.6,"37,15,115,82,38",57,-0.6326400034449483,2.0261487685938127,-0.12216658672659943,20795,0.5523443135369079,0.6193416905215693,1970,6131,0.5339847715736041,0.5449355733159355,10219,0.5973187200313143,0.6265863733924243,778,3083,0.571936589545844,0.5721699643204671
hit_N20_k2.0,25,63,50,0.05,0.8,"37,145,10,159,94",89,-0.8187390032962677,2.0278585624707475,-0.04241260565500932,20795,0.5523443135369079,0.6165572594441471,1970,6131,0.5310406091370559,0.5402055129668896,10219,0.5973187200313143,0.6263417832616842,778,3083,0.5683376178234789,0.5676289328576062
hit_N20_k2.0,26,63,50,0.1,0.6,"68,150,139,92,20",94,-0.8721738684127391,2.118761024605847,-0.08743616055385559,20795,0.5523443135369079,0.6417275634209498,1970,6131,0.5322588832487309,0.5421627793182189,10219,0.5973187200313143,0.6413544615628072,778,3083,0.5631962296486719,0.5611417450535193
hit_N20_k2.0,27,63,50,0.1,0.8,"57,11,33,36,35",34,0.4719784798667031,0.5830973632122345,-0.24871823333105542,20795,0.5523443135369079,0.6046527717226927,1970,6131,0.5328680203045685,0.5431414124938836,10219,0.5973187200313143,0.6296502415448952,778,3083,0.5613967437874893,0.5588712293220889
hit_N20_k2.0,28,63,100,0.05,0.6,"1,8,52,55,12",26,0.9670125067405576,1.2625951487861276,-0.6738211725814827,20795,0.5523443135369079,0.6196238650079962,1970,6131,0.5331725888324873,0.5436307290817158,10219,0.5973187200313143,0.6195391427349491,778,3083,0.5665381319622965,0.5653584171261758
hit_N20_k2.0,29,63,100,0.05,0.8,"59,6,55,1,3",25,-2.1015099954732634,2.6191863454035436,0.5443304640842693,20795,0.5523443135369079,0.594031309894371,1970,6131,0.526979695431472,0.5336812917957918,10219,0.5973187200313143,0.6071803741846559,778,3083,0.5595972579263068,0.5566007135906584
hit_N20_k2.0,30,63,100,0.1,0.6,"1,59,7,8,5",16,-3.9936714077359543,5.923248006811132,0.5917222268650796,20795,0.5523443135369079,0.6349476545045043,1970,6131,0.5277918781725889,0.5349861360300114,10219,0.5973187200313143,0.6309334096655257,778,3083,0.5621679520137104,0.5598443074927019
hit_N20_k2.0,31,63,100,0.1,0.8,"7,15,11,1,3",7,-4.9509187485862585,5.617871115017268,1.1935555767887545,20795,0.5523443135369079,0.6115622047200019,1970,6131,0.52748730964467,0.5344968194421791,10219,0.5973187200313143,0.6023436632869408,778,3083,0.5567694944301629,0.5530327602984106
hit_N20_k2.0,32,63,200,0.05,0.6,"3,6,166,45,35",51,0.8366746808642699,1.0996670653185103,-0.571393059663466,20795,0.5523443135369079,0.6256543530531666,1970,6131,0.5305329949238579,0.5393899853205024,10219,0.5973187200313143,0.6167728891388395,778,3083,0.5709083119108826,0.5708725267596497
hit_N20_k2.0,33,63,200,0.05,0.8,"35,13,31,57,14",30,0.6671710950087346,0.8588368494432062,-0.4201251637259304,20795,0.5523443135369079,0.6075619322398365,1970,6131,0.5326649746192893,0.5428152014353287,10219,0.5973187200313143,0.6217420563710336,778,3083,0.5703941730934019,0.570223807979241
hit_N20_k2.0,34,63,200,0.1,0.6,"4,8,31,57,12",22,2.091437547491694,-0.1967979050219337,-0.834588182939679,20795,0.5523443135369079,0.6161047836183784,1970,6131,0.5331725888324874,0.5436307290817158,10219,0.5973187200313143,0.5937686237390764,778,3083,0.5688517566409598,0.5682776516380149
hit_N20_k2.0,35,63,200,0.1,0.8,"4,59,15,29,14",24,-1.1448950235469926,2.6818808824827354,-0.035007611848874506,20795,0.5523443135369079,0.6289800537849417,1970,6131,0.5336802030456852,0.5444462567281031,10219,0.5973187200313143,0.629668173700175,778,3083,0.5680805484147387,0.5673045734674019
