segment,config,base,timing,gate,pool,selection,exit_rule,n_slots,horizon,seed,source,elapsed_s,ann_return,max_dd,sharpe,calmar,turnover,cost_ratio,utilization,coverage,final_equity,n_trades,entered,total_signals,expo_days,expo_full_days,expo_half_days,expo_zero_days,expo_full_frac,expo_half_frac,expo_zero_frac,gate_blocked,forced_exits,forced_deferred,timing_fallback_days,ret_2015,ret_2016,ret_2017,ret_2018,ret_2019,ret_2020,ret_2021,ret_2022,ret_2023,ret_2024,ret_2025,ret_2026
val,B2_T2_G1,B2,T2,G1,backup,S1,E1,10,20,42,run,9.51,0.02102657256452556,-0.29060726290488714,0.2099695758021254,0.07235391281809549,6.532599795566346,0.3556843660358797,0.5757369645773951,0.03557312252964427,1082902.6799832531,251,252,7084,928.0,497.0,0.0,431.0,0.5355603448275862,0.0,0.4644396551724138,121.0,0.0,0.0,0.0,,,,,0.3253543692347507,-0.056443509506776235,-0.06327494527606092,-0.07556288941809741,,,,
val,B2_T2_G2,B2,T2,G2,backup,S1,E1,10,20,42,run,9.48,0.17941078099372465,-0.2157730865377112,0.9462427704771458,0.8314789572348661,8.426066701842272,0.08104042691726206,0.4179647088068758,0.04785431959345003,1880612.1969445085,339,339,7084,928.0,497.0,0.0,431.0,0.5355603448275862,0.0,0.4644396551724138,173.0,178.0,2.0,0.0,,,,,0.26167472285850213,0.25636195415046514,0.25674176165050233,-0.055958637817811074,,,,
val,B2_T3_G1,B2,T3,G1,backup,S1,E1,10,20,42,run,9.68,0.046416706275813624,-0.20504076473091837,0.3525420307948389,0.22637794165822475,6.633882146365691,0.18863099652285115,0.6161900232063605,0.03670242800677583,1189651.9132457543,255,260,7084,928.0,478.0,350.0,100.0,0.5150862068965517,0.3771551724137931,0.10775862068965517,164.0,0.0,0.0,0.0,,,,,0.019596411642750278,0.1981875416353993,0.15684653004191884,-0.15823461811067063,,,,
val,B2_T3_G2,B2,T3,G2,backup,S1,E1,10,20,42,run,9.75,0.0012158058578934927,-0.2683773122959051,0.10175548250469342,0.004530211020792175,8.726553434322202,0.9169498707619188,0.582064365582845,0.04785431959345003,1004661.5202887532,339,339,7084,928.0,478.0,350.0,100.0,0.5150862068965517,0.3771551724137931,0.10775862068965517,222.0,88.0,3.0,0.0,,,,,-0.0599092126359998,0.09173014145160541,0.13277938766885078,-0.13584960437691584,,,,
val,B2_T4_G1,B2,T4,G1,backup,S1,E1,10,20,42,run,9.9,0.0645467061252929,-0.24457417254683755,0.40226008332581165,0.2639146458235764,8.608227770940612,0.16478568316081205,0.8037152831596318,0.048842461885940144,1270496.2458497542,338,346,7084,928.0,818.0,110.0,0.0,0.8814655172413793,0.11853448275862069,0.0,231.0,0.0,0.0,0.0,,,,,0.24206317126400112,-0.04023507283904226,0.04349934429039504,0.02134541970009729,,,,
val,B2_T4_G2,B2,T4,G2,backup,S1,E1,10,20,42,run,9.96,0.021701051850390174,-0.27770831256439454,0.21181739112679285,0.07814332833612307,9.502866792402331,0.4056261112404065,0.7936200025264766,0.05350084697910785,1085643.2664832554,371,379,7084,928.0,818.0,110.0,0.0,0.8814655172413793,0.11853448275862069,0.0,242.0,27.0,1.0,0.0,,,,,0.24206317126400112,-0.12942363650808264,0.20778869798492083,-0.16872326615989863,,,,
train_late,B1_T1_G1,B1,T1,G1,backup,S3,E1,10,20,42,run,9.4,-0.056099502249760125,-0.5590296029233648,-0.02425967878545192,-0.10035157701201486,4.296631111059693,,0.3953917304515268,0.01936165219432058,794793.024162001,165,165,8522,975.0,413.0,0.0,562.0,0.4235897435897436,0.0,0.5764102564102564,56.0,0.0,0.0,0.0,0.15735755184500055,0.1670508657672738,-0.33087008718177635,-0.12060039395953759,,,,,,,,
train_late,B1_T1_G2,B1,T1,G2,backup,S3,E1,10,20,42,run,9.39,-0.0781688087192155,-0.5971422459075653,-0.10171226771411367,-0.13090483759093416,4.9987034915868716,,0.36306875033555797,0.022529922553391223,723402.2067355027,192,192,8522,975.0,413.0,0.0,562.0,0.4235897435897436,0.0,0.5764102564102564,83.0,79.0,392.0,0.0,0.02931750034125047,0.20625968336044442,-0.3023365325490871,-0.16489001232026934,,,,,,,,
train_late,B1_T2_G1,B1,T2,G1,backup,S3,E1,10,20,42,run,9.41,-0.0428798851370914,-0.5874980922784188,0.025957502667267093,-0.07298727553445462,4.973921541040047,,0.5658949718685758,0.023820699366345927,840006.5300235031,202,203,8522,975.0,466.0,0.0,509.0,0.47794871794871796,0.0,0.522051282051282,73.0,0.0,0.0,0.0,0.5864025122850007,0.26466796020590944,-0.28642190517383115,-0.4132525005602996,,,,,,,,
train_late,B1_T2_G2,B1,T2,G2,backup,S3,E1,10,20,42,run,9.38,0.02866893027155082,-0.38680327736721176,0.23889279480845826,0.07411759917518476,6.7998153875059195,0.32797650715727716,0.4159524923263755,0.03285613705702887,1119009.1047157538,280,280,8522,975.0,466.0,0.0,509.0,0.47794871794871796,0.0,0.522051282051282,123.0,157.0,534.0,0.0,0.6115680886602504,-0.04929909229513041,-0.00979956997375675,-0.26240503777786894,,,,,,,,
train_late,B1_T3_G1,B1,T3,G1,backup,S3,E1,10,20,42,run,9.41,-0.00951398833703454,-0.5769782007836171,0.1266296574040188,-0.016489337593886932,4.322551820950702,42.25054435375829,0.4459118787286952,0.02088711570053978,962685.2525840035,178,178,8522,975.0,372.0,168.0,435.0,0.38153846153846155,0.1723076923076923,0.4461538461538462,74.0,0.0,0.0,0.0,0.6389335115962502,0.3640671333629075,-0.35734624825008376,-0.3299454026454641,,,,,,,,
train_late,B1_T3_G2,B1,T3,G2,backup,S3,E1,10,20,42,run,9.48,-0.021775069854187534,-0.573016707166663,-0.023349890970567732,-0.03800075910850225,5.378206589436603,,0.40932852635589356,0.025463506219197372,916145.2312747525,217,217,8522,975.0,372.0,168.0,435.0,0.38153846153846155,0.1723076923076923,0.4461538461538462,107.0,72.0,253.0,0.0,0.6749493384675003,0.2082159813898261,-0.3628942343150522,-0.28943053897348814,,,,,,,,
train_late,B1_T4_G1,B1,T4,G1,backup,S3,E1,10,20,42,run,9.68,-0.15191084513149322,-0.7189974096368972,-0.2015790596574713,-0.21128149155392664,7.757046040823914,,0.7686051052211266,0.04001408120159587,519198.4295735039,331,341,8522,975.0,750.0,225.0,0.0,0.7692307692307693,0.23076923076923078,0.0,176.0,0.0,0.0,0.0,0.3425259013044999,0.23254436237367737,-0.2810879316666469,-0.5635521452508517,,,,,,,,
train_late,B1_T4_G2,B1,T4,G2,backup,S3,E1,10,20,42,run,9.73,-0.1699312852019631,-0.7198926061734543,-0.2626479871759574,-0.23605088279100767,7.977990089727743,,0.7499952293458869,0.041187514667918326,476680.9673580043,342,351,8522,975.0,750.0,225.0,0.0,0.7692307692307693,0.23076923076923078,0.0,186.0,42.0,19.0,0.0,0.29165327631650073,0.23206278751334453,-0.28603628512380974,-0.5804604761833381,,,,,,,,
train_late,B2_T1_G1,B2,T1,G1,backup,S1,E1,10,20,42,run,9.4,-0.052850224225104436,-0.5555134536058592,-0.018165797639360548,-0.09513761346741756,4.293746911290429,,0.39510727008778296,0.019478995540952827,805732.9804547518,166,166,8522,975.0,413.0,0.0,562.0,0.4235897435897436,0.0,0.5764102564102564,58.0,0.0,0.0,0.0,0.17050995439375005,0.16528821879537658,-0.31930932554578617,-0.13217356969155591,,,,,,,,
train_late,B2_T1_G2,B2,T1,G2,backup,S1,E1,10,20,42,run,9.43,-0.03512362418637849,-0.5196974953376998,0.03870725285311988,-0.06758474786097464,5.1179681695511405,,0.3508795457740571,0.02346866932644919,867414.757718751,200,200,8522,975.0,413.0,0.0,562.0,0.4235897435897436,0.0,0.5764102564102564,90.0,86.0,279.0,0.0,0.14617885251499985,0.2038625011958528,-0.3037308038279294,-0.0971401371499987,,,,,,,,
